"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Finance","Companies House","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Crown Commercial Service","Male","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Crown Office and Procurator Fiscal Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Crown Prosecution Service","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Crown Prosecution Service","Male","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Defence Equipment and Support","Female","30","30","43620","42430"
"In post","2022","40-49","Finance","Defence Equipment and Support","Male","25","25","[c]","[c]"
"In post","2022","40-49","Finance","Defence Science and Technology Laboratory","Female","15","10","[c]","[c]"
"In post","2022","40-49","Finance","Defence Science and Technology Laboratory","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2022","40-49","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2022","40-49","Finance","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Department for Digital, Culture, Media and Sport","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Department for Education (excl. agencies)","Female","75","70","43510","41750"
"In post","2022","40-49","Finance","Department for Education (excl. agencies)","Male","60","55","45290","43040"
"In post","2022","40-49","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","85","75","41530","36970"
"In post","2022","40-49","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","65","65","48810","48370"
"In post","2022","40-49","Finance","Department for International Trade","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Department for International Trade","Male","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2022","40-49","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","40-49","Finance","Department for Transport (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2022","40-49","Finance","Department for Transport (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2022","40-49","Finance","Department for Work and Pensions (excl. agencies)","Female","265","240","36610","35310"
"In post","2022","40-49","Finance","Department for Work and Pensions (excl. agencies)","Male","230","230","40510","35310"
"In post","2022","40-49","Finance","Department of Health and Social Care (excl. agencies)","Female","55","50","47790","49530"
"In post","2022","40-49","Finance","Department of Health and Social Care (excl. agencies)","Male","40","40","48800","49530"
"In post","2022","40-49","Finance","Driver and Vehicle Licensing Agency","Female","25","20","[c]","[c]"
"In post","2022","40-49","Finance","Driver and Vehicle Licensing Agency","Male","15","15","[c]","[c]"
"In post","2022","40-49","Finance","Driver and Vehicle Standards Agency","Female","20","20","[c]","[c]"
"In post","2022","40-49","Finance","Driver and Vehicle Standards Agency","Male","15","15","[c]","[c]"
"In post","2022","40-49","Finance","Education and Skills Funding Agency","Female","115","105","41470","37100"
"In post","2022","40-49","Finance","Education and Skills Funding Agency","Male","120","120","45810","42660"
"In post","2022","40-49","Finance","FCDO Services","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Food Standards Agency","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Food Standards Agency","Male","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Female","40","35","48620","48500"
"In post","2022","40-49","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Male","35","35","51610","49210"
"In post","2022","40-49","Finance","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Government Legal Department","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Government Legal Department","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Health and Safety Executive","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Health and Safety Executive","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","HM Courts and Tribunals Service","Female","30","25","[c]","[c]"
"In post","2022","40-49","Finance","HM Courts and Tribunals Service","Male","25","25","[c]","[c]"
"In post","2022","40-49","Finance","HM Land Registry","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2022","40-49","Finance","HM Revenue and Customs (excl. agencies)","Female","340","300","36350","33080"
"In post","2022","40-49","Finance","HM Revenue and Customs (excl. agencies)","Male","265","265","40720","33480"
"In post","2022","40-49","Finance","HM Treasury (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","HM Treasury (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Intellectual Property Office","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Maritime and Coastguard Agency","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Medicines and Healthcare Products Regulatory Agency","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Met Office","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Ministry of Defence (excl. agencies)","Female","245","235","37240","33300"
"In post","2022","40-49","Finance","Ministry of Defence (excl. agencies)","Male","125","120","43800","38160"
"In post","2022","40-49","Finance","Ministry of Justice (excl. agencies)","Female","95","95","45560","41750"
"In post","2022","40-49","Finance","Ministry of Justice (excl. agencies)","Male","65","65","47340","44370"
"In post","2022","40-49","Finance","National Crime Agency","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","National Savings and Investments","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office for Standards in Education, Children's Services and Skills","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Office for Standards in Education, Children's Services and Skills","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Office of Gas and Electricity Markets","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Planning Inspectorate","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Registers of Scotland","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Scottish Courts and Tribunals Service","Female","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Scottish Prison Service","Female","15","15","[c]","[c]"
"In post","2022","40-49","Finance","Scottish Prison Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Submarine Delivery Agency","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","The Insolvency Service","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","The Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Export Finance","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2022","40-49","Finance","UK Health Security Agency","Female","25","25","[c]","[c]"
"In post","2022","40-49","Finance","UK Health Security Agency","Male","20","20","[c]","[c]"
"In post","2022","40-49","Finance","UK Hydrographic Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Statistics Authority","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","UK Statistics Authority","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Valuation Office Agency","Female","10","5","[c]","[c]"
"In post","2022","40-49","Finance","Valuation Office Agency","Male","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Vehicle Certification Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Vehicle Certification Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Veterinary Medicines Directorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Water Services Regulation Authority","Female","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Water Services Regulation Authority","Male","5","5","[c]","[c]"
"In post","2022","40-49","Finance","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Wilton Park","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","Rural Payments Agency","Female","420","355","25600","23110"
"In post","2022","40-49","Grants Management","Rural Payments Agency","Male","265","265","25730","21300"
"In post","2022","40-49","Grants Management","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Cabinet Office (excl. agencies)","Female","170","155","42250","38410"
"In post","2022","40-49","Human Resources","Cabinet Office (excl. agencies)","Male","115","115","43950","40600"
"In post","2022","40-49","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Companies House","Female","15","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Competition and Markets Authority","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Crown Commercial Service","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Crown Office and Procurator Fiscal Service","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Crown Office and Procurator Fiscal Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Crown Prosecution Service","Female","25","25","[c]","[c]"
"In post","2022","40-49","Human Resources","Crown Prosecution Service","Male","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Defence Equipment and Support","Female","35","35","41490","34770"
"In post","2022","40-49","Human Resources","Defence Equipment and Support","Male","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Defence Science and Technology Laboratory","Female","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Digital, Culture, Media and Sport","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Education (excl. agencies)","Female","25","25","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Education (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","85","80","42360","37590"
"In post","2022","40-49","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for International Trade","Female","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for International Trade","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","15","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Transport (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Department for Work and Pensions (excl. agencies)","Female","230","215","36940","31990"
"In post","2022","40-49","Human Resources","Department for Work and Pensions (excl. agencies)","Male","140","135","33010","27570"
"In post","2022","40-49","Human Resources","Department of Health and Social Care (excl. agencies)","Female","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Department of Health and Social Care (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Driver and Vehicle Licensing Agency","Female","35","30","32280","32180"
"In post","2022","40-49","Human Resources","Driver and Vehicle Licensing Agency","Male","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Driver and Vehicle Standards Agency","Female","25","20","[c]","[c]"
"In post","2022","40-49","Human Resources","Driver and Vehicle Standards Agency","Male","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Education and Skills Funding Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Education and Skills Funding Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","FCDO Services","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Food Standards Agency","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Food Standards Agency","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Female","55","50","46220","39340"
"In post","2022","40-49","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Male","35","35","57870","58470"
"In post","2022","40-49","Human Resources","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Government Internal Audit Agency","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Government Legal Department","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Health and Safety Executive","Female","20","20","[c]","[c]"
"In post","2022","40-49","Human Resources","Health and Safety Executive","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","HM Courts and Tribunals Service","Female","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","HM Land Registry","Female","30","30","41070","38550"
"In post","2022","40-49","Human Resources","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","HM Prison and Probation Service","Female","25","25","[c]","[c]"
"In post","2022","40-49","Human Resources","HM Prison and Probation Service","Male","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","HM Revenue and Customs (excl. agencies)","Female","260","240","38490","33370"
"In post","2022","40-49","Human Resources","HM Revenue and Customs (excl. agencies)","Male","140","140","39210","33370"
"In post","2022","40-49","Human Resources","HM Treasury (excl. agencies)","Female","15","10","[c]","[c]"
"In post","2022","40-49","Human Resources","HM Treasury (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Intellectual Property Office","Female","15","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Maritime and Coastguard Agency","Female","15","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Medicines and Healthcare Products Regulatory Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Medicines and Healthcare Products Regulatory Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Met Office","Female","20","20","[c]","[c]"
"In post","2022","40-49","Human Resources","Met Office","Male","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Ministry of Defence (excl. agencies)","Female","290","265","33980","26930"
"In post","2022","40-49","Human Resources","Ministry of Defence (excl. agencies)","Male","100","100","38160","33300"
"In post","2022","40-49","Human Resources","Ministry of Justice (excl. agencies)","Female","220","215","41780","36220"
"In post","2022","40-49","Human Resources","Ministry of Justice (excl. agencies)","Male","75","75","43280","41100"
"In post","2022","40-49","Human Resources","National Crime Agency","Female","35","30","44510","41860"
"In post","2022","40-49","Human Resources","National Crime Agency","Male","15","15","[c]","[c]"
"In post","2022","40-49","Human Resources","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office for Standards in Education, Children's Services and Skills","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Office for Standards in Education, Children's Services and Skills","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Gas and Electricity Markets","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Planning Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Planning Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Registers of Scotland","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Registers of Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Scottish Courts and Tribunals Service","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Scottish Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Scottish Prison Service","Female","25","20","[c]","[c]"
"In post","2022","40-49","Human Resources","Scottish Prison Service","Male","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Serious Fraud Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Serious Fraud Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Submarine Delivery Agency","Female","10","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Submarine Delivery Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","The Insolvency Service","Female","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","The Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","The National Archives","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Export Finance","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Health Security Agency","Female","45","45","47500","48860"
"In post","2022","40-49","Human Resources","UK Health Security Agency","Male","20","20","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Hydrographic Office","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Hydrographic Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Statistics Authority","Female","30","25","42960","36840"
"In post","2022","40-49","Human Resources","UK Statistics Authority","Male","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Valuation Office Agency","Female","20","15","[c]","[c]"
"In post","2022","40-49","Human Resources","Valuation Office Agency","Male","10","10","[c]","[c]"
"In post","2022","40-49","Human Resources","Water Services Regulation Authority","Female","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Human Resources","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","Government Internal Audit Agency","Female","45","40","49650","47060"
"In post","2022","40-49","Internal Audit","Government Internal Audit Agency","Male","45","45","52780","48780"
"In post","2022","40-49","Internal Audit","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","HM Prison and Probation Service","Female","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","HM Prison and Probation Service","Male","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","HM Revenue and Customs (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","HM Revenue and Customs (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Intellectual Property Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Intellectual Property Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Maritime and Coastguard Agency","Female","5","5","[c]","[c]"
"In post","2022","40-49","Internal Audit","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Internal Audit","Ministry of Defence (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2022","40-49","Internal Audit","Ministry of Defence (excl. agencies)","Male","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","Registers of Scotland","Female","[c]","[c]","[c]","[c]"
