"Status","Year","Age","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","London","30","30","60280","54600"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","North East (England)","5","5","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","North West (England)","10","10","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","South West (England)","10","10","44440","43300"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Internal Audit","Yorkshire and The Humber","15","15","46210","42320"
"In post","2022","40-49","Government Internal Audit Agency","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Internal Audit Agency","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Legal Department","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Legal Department","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Legal Department","Finance","London","10","10","35820","32570"
"In post","2022","40-49","Government Legal Department","Human Resources","London","15","15","40950","44120"
"In post","2022","40-49","Government Legal Department","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Legal Department","Legal","London","635","560","62600","64680"
"In post","2022","40-49","Government Legal Department","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Legal Department","Legal","South West (England)","15","10","60410","60530"
"In post","2022","40-49","Government Legal Department","Legal","Yorkshire and The Humber","20","20","61690","63010"
"In post","2022","40-49","Government Legal Department","Other","London","65","60","35910","30720"
"In post","2022","40-49","Government Legal Department","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Legal Department","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Finance","West Midlands (England)","10","10","49780","54700"
"In post","2022","40-49","Government Property Agency","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Property","London","15","15","54920","57150"
"In post","2022","40-49","Government Property Agency","Property","North West (England)","5","5","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Property","South West (England)","5","5","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Property","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Property","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Security","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Government Property Agency","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Commercial","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Commercial","North West (England)","5","5","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Communications","North West (England)","10","10","43630","42190"
"In post","2022","40-49","Health and Safety Executive","Digital, Data and Technology","North West (England)","20","20","42020","41810"
"In post","2022","40-49","Health and Safety Executive","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Economics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Finance","North West (England)","10","10","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Human Resources","North West (England)","15","15","44680","39390"
"In post","2022","40-49","Health and Safety Executive","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Knowledge and Information Management","North West (England)","5","5","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","East Midlands (England)","20","20","38820","35610"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","East of England","30","30","45840","46320"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","London","30","30","49980","47670"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","North East (England)","20","20","48390","46320"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","North West (England)","125","115","41630","40180"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","Scotland","65","60","65060","58320"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","South East (England)","20","15","44850","46320"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","South West (England)","20","20","46860","46320"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","Wales","25","25","40230","43830"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","West Midlands (England)","25","25","47670","46320"
"In post","2022","40-49","Health and Safety Executive","Operational Delivery","Yorkshire and The Humber","45","45","43290","43520"
"In post","2022","40-49","Health and Safety Executive","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Policy","London","10","10","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Policy","North West (England)","15","15","49090","50450"
"In post","2022","40-49","Health and Safety Executive","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Project Delivery","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Science and Engineering","East Midlands (England)","60","55","42750","40020"
"In post","2022","40-49","Health and Safety Executive","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Science and Engineering","North West (England)","15","10","38970","39330"
"In post","2022","40-49","Health and Safety Executive","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Science and Engineering","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Science and Engineering","Yorkshire and The Humber","30","25","35230","35910"
"In post","2022","40-49","Health and Safety Executive","Statistics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Statistics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Health and Safety Executive","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Communications","London","5","5","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","London","30","30","44860","41750"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","North West (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","Wales","5","5","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Digital, Data and Technology","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","London","20","20","47580","42430"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Human Resources","London","10","10","58090","55050"
"In post","2022","40-49","HM Courts and Tribunals Service","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","East Midlands (England)","15","15","42620","42290"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","East of England","25","25","42070","40800"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","London","80","75","50230","49690"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","North East (England)","20","15","42250","42080"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","North West (England)","45","40","40390","40450"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","South East (England)","35","30","43680","43080"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","South West (England)","20","20","42960","43310"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","Wales","15","15","41150","41890"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","West Midlands (England)","25","25","40810","40740"
"In post","2022","40-49","HM Courts and Tribunals Service","Legal","Yorkshire and The Humber","35","35","42770","42340"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","East Midlands (England)","285","250","23700","20970"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","East of England","210","175","23610","21190"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","London","730","680","29710","24310"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","North East (England)","160","140","24590","20970"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","North West (England)","420","375","24670","21410"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","Scotland","45","40","24450","21490"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","South East (England)","250","210","25330","21490"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","South West (England)","185","165","23200","20970"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","Wales","195","180","23680","20970"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","West Midlands (England)","390","345","24310","20970"
"In post","2022","40-49","HM Courts and Tribunals Service","Operational Delivery","Yorkshire and The Humber","235","195","24430","20970"
"In post","2022","40-49","HM Courts and Tribunals Service","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","London","10","10","39830","34700"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","North West (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Courts and Tribunals Service","Statistics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Crown Prosecution Service Inspectorate","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Crown Prosecution Service Inspectorate","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Crown Prosecution Service Inspectorate","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","East of England","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","London","10","10","49030","42100"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","South West (England)","150","145","40880","38450"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","Wales","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Finance","London","10","10","64500","64870"
"In post","2022","40-49","HM Land Registry","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Human Resources","East Midlands (England)","25","25","41550","38550"
"In post","2022","40-49","HM Land Registry","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Human Resources","South West (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Internal Audit","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","London","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","North West (England)","10","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","South West (England)","15","15","46290","38550"
"In post","2022","40-49","HM Land Registry","Legal","Wales","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","West Midlands (England)","10","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Operational Delivery","East Midlands (England)","135","120","29490","27130"
"In post","2022","40-49","HM Land Registry","Operational Delivery","East of England","40","40","28720","27130"
"In post","2022","40-49","HM Land Registry","Operational Delivery","London","30","30","34270","30830"
"In post","2022","40-49","HM Land Registry","Operational Delivery","North East (England)","90","90","28370","27130"
"In post","2022","40-49","HM Land Registry","Operational Delivery","North West (England)","185","170","29710","27130"
"In post","2022","40-49","HM Land Registry","Operational Delivery","South West (England)","145","130","28480","27130"
"In post","2022","40-49","HM Land Registry","Operational Delivery","Wales","115","105","29420","27130"
"In post","2022","40-49","HM Land Registry","Operational Delivery","West Midlands (England)","95","85","28890","27130"
"In post","2022","40-49","HM Land Registry","Operational Delivery","Yorkshire and The Humber","50","45","28420","27130"
"In post","2022","40-49","HM Land Registry","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Other","London","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Project Delivery","East Midlands (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Project Delivery","North West (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Project Delivery","South West (England)","10","10","42640","38550"
"In post","2022","40-49","HM Land Registry","Project Delivery","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Land Registry","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","East Midlands (England)","10","10","52140","54420"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","East of England","5","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","London","40","35","53120","48020"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","North West (England)","20","20","47330","46550"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","South East (England)","10","10","53050","47890"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","South West (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","West Midlands (England)","20","20","42990","40350"
"In post","2022","40-49","HM Prison and Probation Service","Commercial","Yorkshire and The Humber","15","15","48670","44330"
"In post","2022","40-49","HM Prison and Probation Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","London","10","10","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","South East (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Human Resources","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","East Midlands (England)","10","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","East of England","15","15","33330","27380"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","North East (England)","10","10","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","North West (England)","10","10","27530","27380"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","South East (England)","10","10","28130","27380"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","South West (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Intelligence Analysis","Yorkshire and The Humber","10","10","29000","30140"
"In post","2022","40-49","HM Prison and Probation Service","Internal Audit","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Internal Audit","East of England","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Internal Audit","London","5","5","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Internal Audit","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Internal Audit","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Internal Audit","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","40-49","HM Prison and Probation Service","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
