"Status","Year","Age","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Declared non-disabled","Scottish Government","Unknown","2235","2130","45950","43000"
"In post","2022","40-49","Declared non-disabled","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Digital, Data and Technology","30","30","42360","44670"
"In post","2022","40-49","Declared non-disabled","The National Archives","Finance","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Human Resources","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Knowledge and Information Management","25","25","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Operational Delivery","25","25","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Other","10","10","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Policy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","The National Archives","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Communications","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Finance","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Human Resources","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Legal","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Operational Delivery","60","60","55460","51400"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Project Delivery","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Export Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Commercial","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Communications","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Digital, Data and Technology","70","65","45890","50210"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Economics","10","10","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Finance","10","10","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Geography","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Human Resources","20","20","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Operational Delivery","310","275","32650","30210"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Project Delivery","45","40","43070","37570"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Security","10","10","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Social Research","70","60","44570","41450"
"In post","2022","40-49","Declared non-disabled","UK Statistics Authority","Statistics","70","70","53430","52650"
"In post","2022","40-49","Declared non-disabled","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Supreme Court","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Supreme Court","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Supreme Court","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Supreme Court","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","UK Supreme Court","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Economics","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Finance","10","10","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Human Resources","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Legal","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Operational Delivery","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Other","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Policy","20","20","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Project Delivery","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Science and Engineering","5","5","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Water Services Regulation Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Communications","50","45","43050","38160"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Digital, Data and Technology","65","60","43930","41040"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Economics","10","10","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Finance","85","80","48630","47470"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Human Resources","30","30","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Knowledge and Information Management","35","30","36970","38160"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Legal","50","45","61670","61440"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Medicine","60","55","47880","47470"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Operational Delivery","380","360","40390","38160"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Other","175","170","44440","47470"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Planning","15","15","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Policy","465","445","46550","44200"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Project Delivery","45","40","44640","40100"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Property","15","15","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Science and Engineering","25","25","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Social Research","20","15","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Statistics","20","20","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Tax","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Declared non-disabled","Welsh Government","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Legal","40","35","62160","65630"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Attorney General's Departments","Other","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Cabinet Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Cabinet Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Cabinet Office","Unknown","75","70","48740","43890"
"In post","2022","40-49","Undeclared","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Competition and Markets Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Counter Fraud","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Finance","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Human Resources","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Operational Delivery","25","25","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Policy","40","40","51950","53380"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Finance","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Operational Delivery","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Policy","25","25","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Property","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Commercial","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Finance","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Operational Delivery","35","30","30430","26200"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Policy","25","25","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Project Delivery","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Property","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Science and Engineering","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Environment, Food and Rural Affairs","Veterinarian","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for International Trade","International Trade","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for International Trade","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Operational Delivery","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Planning Inspectors","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Policy","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Levelling Up, Housing and Communities","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Commercial","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Digital, Data and Technology","35","35","43330","41480"
"In post","2022","40-49","Undeclared","Department for Transport","Finance","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Human Resources","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Operational Delivery","155","150","26220","26130"
"In post","2022","40-49","Undeclared","Department for Transport","Other","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Policy","35","30","50240","44480"
"In post","2022","40-49","Undeclared","Department for Transport","Project Delivery","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Science and Engineering","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Security","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Transport","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Commercial","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Counter Fraud","55","50","29580","27570"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Digital, Data and Technology","65","60","46250","40130"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Finance","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Human Resources","15","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Knowledge and Information Management","10","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Operational Delivery","710","650","27410","27570"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Other","90","80","26320","27570"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Policy","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Project Delivery","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Science and Engineering","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Security","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department for Work and Pensions","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Medicine","10","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Operational Delivery","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Other","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Department of Health and Social Care","Science and Engineering","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Operational Delivery","25","25","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Policy","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Science and Engineering","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Food Standards Agency","Veterinarian","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Economics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Operational Delivery","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Policy","40","40","55990","58250"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Property","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Land Registry","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Land Registry","Operational Delivery","35","30","29240","27130"
"In post","2022","40-49","Undeclared","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Digital, Data and Technology","35","35","42600","40520"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Finance","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Human Resources","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Legal","75","75","37900","33560"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Operational Delivery","320","295","28520","26590"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Other","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Policy","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Project Delivery","45","45","44300","40520"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Property","50","45","36940","33130"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Security","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Tax","190","185","41830","39670"
"In post","2022","40-49","Undeclared","HM Revenue and Customs","Unknown","45","40","40980","33370"
"In post","2022","40-49","Undeclared","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Internal Audit","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Other","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Policy","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","HM Treasury","Tax","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Finance","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Human Resources","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Intelligence Analysis","30","30","31840","29060"
"In post","2022","40-49","Undeclared","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Operational Delivery","335","315","30540","27370"
"In post","2022","40-49","Undeclared","Home Office","Other","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Policy","30","30","50590","51750"
"In post","2022","40-49","Undeclared","Home Office","Project Delivery","30","30","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Property","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Security","5","5","[c]","[c]"
"In post","2022","40-49","Undeclared","Home Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Ministry of Defence","Commercial","40","35","41620","37400"
"In post","2022","40-49","Undeclared","Ministry of Defence","Communications","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Ministry of Defence","Digital, Data and Technology","60","60","34870","33300"
"In post","2022","40-49","Undeclared","Ministry of Defence","Finance","75","70","39070","33300"
"In post","2022","40-49","Undeclared","Ministry of Defence","Geography","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Undeclared","Ministry of Defence","Human Resources","25","25","[c]","[c]"
"In post","2022","40-49","Undeclared","Ministry of Defence","Intelligence Analysis","15","15","[c]","[c]"
"In post","2022","40-49","Undeclared","Ministry of Defence","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2022","40-49","Undeclared","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
