"Status","Year","Age","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","G6/G7","70","65","68900","69780"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","SCS level","15","15","88320","83970"
"In post","2022","50-59","Crown Office and Procurator Fiscal Service","SEO/HEO","210","195","43350","36130"
"In post","2022","50-59","Crown Prosecution Service","AA/AO","350","315","22790","22200"
"In post","2022","50-59","Crown Prosecution Service","EO","455","420","28730","28430"
"In post","2022","50-59","Crown Prosecution Service","G6/G7","1100","1030","59780","57400"
"In post","2022","50-59","Crown Prosecution Service","SCS level","50","50","98440","92180"
"In post","2022","50-59","Crown Prosecution Service","SEO/HEO","305","295","35530","34480"
"In post","2022","50-59","Defence Electronics and Components Agency","AA/AO","25","25","22360","22100"
"In post","2022","50-59","Defence Electronics and Components Agency","EO","115","115","29780","29470"
"In post","2022","50-59","Defence Electronics and Components Agency","G6/G7","10","10","[c]","[c]"
"In post","2022","50-59","Defence Electronics and Components Agency","SEO/HEO","45","45","38330","35100"
"In post","2022","50-59","Defence Equipment and Support","EO","465","445","22630","22330"
"In post","2022","50-59","Defence Equipment and Support","G6/G7","690","685","57670","55820"
"In post","2022","50-59","Defence Equipment and Support","SCS level","65","65","103730","97480"
"In post","2022","50-59","Defence Equipment and Support","SEO/HEO","1770","1730","37150","37730"
"In post","2022","50-59","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","AA/AO","15","10","21910","18330"
"In post","2022","50-59","Defence Science and Technology Laboratory","EO","50","45","24580","23490"
"In post","2022","50-59","Defence Science and Technology Laboratory","G6/G7","665","650","54110","49420"
"In post","2022","50-59","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Defence Science and Technology Laboratory","SEO/HEO","335","325","35930","38070"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","20","20","25380","24900"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","85","80","28690","28500"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","400","390","59860","58410"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","85","85","95430","84900"
"In post","2022","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","285","280","39580","37980"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","AA/AO","5","5","[c]","[c]"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","EO","20","20","26920","26390"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","G6/G7","80","80","58880","57920"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","SCS level","15","15","94580","88320"
"In post","2022","50-59","Department for Digital, Culture, Media and Sport","SEO/HEO","55","55","36540","35790"
"In post","2022","50-59","Department for Education (excl. agencies)","AA/AO","20","15","22100","21250"
"In post","2022","50-59","Department for Education (excl. agencies)","EO","115","110","27140","26000"
"In post","2022","50-59","Department for Education (excl. agencies)","G6/G7","515","505","57350","55000"
"In post","2022","50-59","Department for Education (excl. agencies)","SCS level","60","55","88970","76760"
"In post","2022","50-59","Department for Education (excl. agencies)","SEO/HEO","535","515","36120","36500"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","50","45","23310","24370"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","135","130","27090","26520"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","525","515","55630","54280"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","50","50","89960","79590"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","580","565","36350","36110"
"In post","2022","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","Department for International Trade","AA/AO","15","15","24840","25140"
"In post","2022","50-59","Department for International Trade","EO","50","50","28700","29530"
"In post","2022","50-59","Department for International Trade","G6/G7","170","170","58200","56400"
"In post","2022","50-59","Department for International Trade","SCS level","45","45","93060","84040"
"In post","2022","50-59","Department for International Trade","SEO/HEO","155","155","37610","38160"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","15","15","25760","26870"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","65","65","30250","31060"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","220","215","57960","57040"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","35","35","89090","81900"
"In post","2022","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","200","195","37000","36340"
"In post","2022","50-59","Department for Transport (excl. agencies)","AA/AO","45","40","29840","33390"
"In post","2022","50-59","Department for Transport (excl. agencies)","EO","70","65","29110","30270"
"In post","2022","50-59","Department for Transport (excl. agencies)","G6/G7","270","270","63630","59540"
"In post","2022","50-59","Department for Transport (excl. agencies)","SCS level","75","70","92600","84960"
"In post","2022","50-59","Department for Transport (excl. agencies)","SEO/HEO","245","240","39730","38650"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","AA/AO","9730","8420","21320","21260"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","EO","15965","14520","28070","27570"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","G6/G7","1430","1400","56230","54070"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","SCS level","120","120","89340","79600"
"In post","2022","50-59","Department for Work and Pensions (excl. agencies)","SEO/HEO","4325","4165","35100","34290"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","AA/AO","15","15","22660","23170"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","EO","75","75","27230","27270"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","G6/G7","335","325","59090","56910"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","SCS level","95","95","96180","93000"
"In post","2022","50-59","Department of Health and Social Care (excl. agencies)","SEO/HEO","215","210","37350","37300"
"In post","2022","50-59","Disclosure Scotland","AA/AO","35","30","22810","23230"
"In post","2022","50-59","Disclosure Scotland","EO","15","15","31590","30040"
"In post","2022","50-59","Disclosure Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Disclosure Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Disclosure Scotland","SEO/HEO","10","10","44840","47490"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","AA/AO","870","755","20910","21840"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","EO","210","195","26710","26780"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","G6/G7","105","100","65900","62600"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Driver and Vehicle Licensing Agency","SEO/HEO","250","240","38010","38650"
"In post","2022","50-59","Driver and Vehicle Standards Agency","AA/AO","320","305","25110","26830"
"In post","2022","50-59","Driver and Vehicle Standards Agency","EO","1035","1000","28220","26780"
"In post","2022","50-59","Driver and Vehicle Standards Agency","G6/G7","60","60","54650","52300"
"In post","2022","50-59","Driver and Vehicle Standards Agency","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Driver and Vehicle Standards Agency","SEO/HEO","350","345","35810","33710"
"In post","2022","50-59","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Education and Skills Funding Agency","EO","25","20","26100","26000"
"In post","2022","50-59","Education and Skills Funding Agency","G6/G7","190","185","55990","52830"
"In post","2022","50-59","Education and Skills Funding Agency","SCS level","15","15","84800","78000"
"In post","2022","50-59","Education and Skills Funding Agency","SEO/HEO","230","225","35440","36500"
"In post","2022","50-59","Education Scotland","AA/AO","5","5","[c]","[c]"
"In post","2022","50-59","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Education Scotland","G6/G7","90","90","70570","75340"
"In post","2022","50-59","Education Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Education Scotland","SEO/HEO","20","20","44010","45570"
"In post","2022","50-59","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Estyn","G6/G7","35","35","74770","75480"
"In post","2022","50-59","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","FCDO Services","AA/AO","40","40","25840","23950"
"In post","2022","50-59","FCDO Services","EO","40","40","30110","28700"
"In post","2022","50-59","FCDO Services","G6/G7","75","75","65060","64770"
"In post","2022","50-59","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","FCDO Services","SEO/HEO","150","145","43320","43620"
"In post","2022","50-59","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Food Standards Agency","EO","185","185","27260","26750"
"In post","2022","50-59","Food Standards Agency","G6/G7","85","85","56490","55300"
"In post","2022","50-59","Food Standards Agency","SCS level","10","10","86880","89190"
"In post","2022","50-59","Food Standards Agency","SEO/HEO","180","180","35920","36320"
"In post","2022","50-59","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Food Standards Scotland","EO","25","25","29550","30040"
"In post","2022","50-59","Food Standards Scotland","G6/G7","10","10","58160","53480"
"In post","2022","50-59","Food Standards Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Food Standards Scotland","SEO/HEO","30","30","37520","36130"
"In post","2022","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","95","90","26480","28250"
"In post","2022","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","EO","195","190","30950","30680"
"In post","2022","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","715","705","62620","61800"
"In post","2022","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","215","210","89440","79720"
"In post","2022","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","510","500","39400","38600"
"In post","2022","50-59","Forestry and Land Scotland","AA/AO","135","130","26720","27360"
"In post","2022","50-59","Forestry and Land Scotland","EO","80","75","32860","31060"
"In post","2022","50-59","Forestry and Land Scotland","G6/G7","15","15","60610","57670"
"In post","2022","50-59","Forestry and Land Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Forestry and Land Scotland","SEO/HEO","80","80","42360","39520"
"In post","2022","50-59","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Government Actuary's Department","G6/G7","20","15","98410","91870"
"In post","2022","50-59","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Government Actuary's Department","SEO/HEO","5","5","[c]","[c]"
"In post","2022","50-59","Government Internal Audit Agency","EO","10","10","[c]","[c]"
"In post","2022","50-59","Government Internal Audit Agency","G6/G7","80","80","58870","59310"
"In post","2022","50-59","Government Internal Audit Agency","SCS level","15","15","88740","77520"
"In post","2022","50-59","Government Internal Audit Agency","SEO/HEO","85","80","41590","40770"
"In post","2022","50-59","Government Legal Department","AA/AO","15","15","24070","24050"
"In post","2022","50-59","Government Legal Department","EO","40","40","28510","27580"
"In post","2022","50-59","Government Legal Department","G6/G7","330","305","64760","66290"
"In post","2022","50-59","Government Legal Department","SCS level","100","95","85120","80040"
"In post","2022","50-59","Government Legal Department","SEO/HEO","50","45","35690","35000"
"In post","2022","50-59","Government Property Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Government Property Agency","EO","10","10","[c]","[c]"
"In post","2022","50-59","Government Property Agency","G6/G7","35","35","60210","59740"
"In post","2022","50-59","Government Property Agency","SCS level","15","15","97020","88000"
"In post","2022","50-59","Government Property Agency","SEO/HEO","20","20","37470","37300"
"In post","2022","50-59","Health and Safety Executive","AA/AO","110","100","22530","22410"
"In post","2022","50-59","Health and Safety Executive","EO","165","150","28460","28990"
"In post","2022","50-59","Health and Safety Executive","G6/G7","260","255","62450","59410"
"In post","2022","50-59","Health and Safety Executive","SCS level","25","25","90550","86100"
"In post","2022","50-59","Health and Safety Executive","SEO/HEO","465","440","45610","44940"
"In post","2022","50-59","HM Courts and Tribunals Service","AA/AO","3000","2665","21350","20970"
"In post","2022","50-59","HM Courts and Tribunals Service","EO","885","850","26350","25370"
"In post","2022","50-59","HM Courts and Tribunals Service","G6/G7","280","275","58420","58840"
"In post","2022","50-59","HM Courts and Tribunals Service","SCS level","35","35","86210","83300"
"In post","2022","50-59","HM Courts and Tribunals Service","SEO/HEO","920","865","38250","36490"
"In post","2022","50-59","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","HM Crown Prosecution Service Inspectorate","G6/G7","10","10","[c]","[c]"
"In post","2022","50-59","HM Crown Prosecution Service Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","HM Crown Prosecution Service Inspectorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","HM Land Registry","AA/AO","330","300","22750","22600"
"In post","2022","50-59","HM Land Registry","EO","965","845","27410","27130"
"In post","2022","50-59","HM Land Registry","G6/G7","115","115","63140","61260"
"In post","2022","50-59","HM Land Registry","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","HM Land Registry","SEO/HEO","1065","990","37070","33840"
"In post","2022","50-59","HM Prison and Probation Service","AA/AO","6460","6085","27330","27060"
"In post","2022","50-59","HM Prison and Probation Service","EO","1950","1890","31440","32870"
"In post","2022","50-59","HM Prison and Probation Service","G6/G7","330","325","76390","74770"
"In post","2022","50-59","HM Prison and Probation Service","SCS level","45","40","103150","103000"
"In post","2022","50-59","HM Prison and Probation Service","SEO/HEO","2205","2135","43160","38160"
"In post","2022","50-59","HM Prison and Probation Service","Unknown","4610","4305","31650","28300"
"In post","2022","50-59","HM Revenue and Customs (excl. agencies)","AA/AO","5375","4565","21960","22080"
"In post","2022","50-59","HM Revenue and Customs (excl. agencies)","EO","3740","3445","28070","26820"
"In post","2022","50-59","HM Revenue and Customs (excl. agencies)","G6/G7","2885","2820","60700","56160"
"In post","2022","50-59","HM Revenue and Customs (excl. agencies)","SCS level","230","230","87060","79600"
"In post","2022","50-59","HM Revenue and Customs (excl. agencies)","SEO/HEO","6515","6270","37420","37930"
"In post","2022","50-59","HM Treasury (excl. agencies)","AA/AO","10","10","23510","24480"
"In post","2022","50-59","HM Treasury (excl. agencies)","EO","35","35","28060","27600"
"In post","2022","50-59","HM Treasury (excl. agencies)","G6/G7","55","55","59540","57710"
"In post","2022","50-59","HM Treasury (excl. agencies)","SCS level","15","15","123550","1e+05"
"In post","2022","50-59","HM Treasury (excl. agencies)","SEO/HEO","40","40","39050","38890"
"In post","2022","50-59","Home Office","AA/AO","1770","1590","22330","21680"
"In post","2022","50-59","Home Office","EO","4180","3825","27610","27370"
"In post","2022","50-59","Home Office","G6/G7","1070","1055","61110","57740"
"In post","2022","50-59","Home Office","SCS level","100","100","93690","83970"
"In post","2022","50-59","Home Office","SEO/HEO","2565","2505","36810","36620"
"In post","2022","50-59","Home Office","Unknown","60","60","[c]","[c]"
"In post","2022","50-59","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Institute for Apprenticeships and Technical Education","G6/G7","35","35","58060","56890"
"In post","2022","50-59","Institute for Apprenticeships and Technical Education","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Institute for Apprenticeships and Technical Education","SEO/HEO","20","20","36950","36570"
"In post","2022","50-59","Intellectual Property Office","AA/AO","45","40","21720","21810"
"In post","2022","50-59","Intellectual Property Office","EO","70","70","25950","24720"
"In post","2022","50-59","Intellectual Property Office","G6/G7","105","100","61130","60790"
"In post","2022","50-59","Intellectual Property Office","SCS level","15","15","76830","75150"
"In post","2022","50-59","Intellectual Property Office","SEO/HEO","120","120","40210","40520"
"In post","2022","50-59","Legal Aid Agency","AA/AO","80","75","21080","20970"
"In post","2022","50-59","Legal Aid Agency","EO","75","70","25860","25120"
"In post","2022","50-59","Legal Aid Agency","G6/G7","35","35","60330","58520"
"In post","2022","50-59","Legal Aid Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Legal Aid Agency","SEO/HEO","80","75","37620","38420"
"In post","2022","50-59","Maritime and Coastguard Agency","AA/AO","55","50","24410","23840"
"In post","2022","50-59","Maritime and Coastguard Agency","EO","50","50","28710","26780"
"In post","2022","50-59","Maritime and Coastguard Agency","G6/G7","55","55","62100","58310"
"In post","2022","50-59","Maritime and Coastguard Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Maritime and Coastguard Agency","SEO/HEO","135","130","41200","39040"
"In post","2022","50-59","Medicines and Healthcare Products Regulatory Agency","AA/AO","10","10","[c]","[c]"
"In post","2022","50-59","Medicines and Healthcare Products Regulatory Agency","EO","40","40","28150","27560"
"In post","2022","50-59","Medicines and Healthcare Products Regulatory Agency","G6/G7","95","95","63190","65920"
"In post","2022","50-59","Medicines and Healthcare Products Regulatory Agency","SCS level","45","45","88720","85930"
"In post","2022","50-59","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","80","80","39200","40560"
"In post","2022","50-59","Met Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Met Office","EO","35","35","25820","25630"
"In post","2022","50-59","Met Office","G6/G7","210","200","53730","49820"
"In post","2022","50-59","Met Office","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Met Office","SEO/HEO","285","275","38480","39650"
"In post","2022","50-59","Ministry of Defence (excl. agencies)","AA/AO","5665","5505","23070","21170"
"In post","2022","50-59","Ministry of Defence (excl. agencies)","EO","2625","2575","29140","26930"
"In post","2022","50-59","Ministry of Defence (excl. agencies)","G6/G7","1085","1055","62670","59270"
"In post","2022","50-59","Ministry of Defence (excl. agencies)","SCS level","140","135","92310","85650"
"In post","2022","50-59","Ministry of Defence (excl. agencies)","SEO/HEO","4145","4085","38530","37640"
"In post","2022","50-59","Ministry of Defence (excl. agencies)","Unknown","65","65","33970","27370"
"In post","2022","50-59","Ministry of Justice (excl. agencies)","AA/AO","75","70","22030","21490"
"In post","2022","50-59","Ministry of Justice (excl. agencies)","EO","165","160","27800","28310"
"In post","2022","50-59","Ministry of Justice (excl. agencies)","G6/G7","440","435","60410","59660"
"In post","2022","50-59","Ministry of Justice (excl. agencies)","SCS level","40","40","89690","87460"
"In post","2022","50-59","Ministry of Justice (excl. agencies)","SEO/HEO","715","700","38860","38370"
"In post","2022","50-59","Ministry of Justice (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","National Crime Agency","AA/AO","60","55","24870","25130"
"In post","2022","50-59","National Crime Agency","EO","550","540","35290","36200"
"In post","2022","50-59","National Crime Agency","G6/G7","160","160","66880","65940"
"In post","2022","50-59","National Crime Agency","SCS level","15","15","119210","119170"
"In post","2022","50-59","National Crime Agency","SEO/HEO","805","795","45750","44910"
"In post","2022","50-59","National Infrastructure Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","National Infrastructure Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","National Infrastructure Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","National Infrastructure Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","National Records of Scotland","AA/AO","55","50","23830","23230"
"In post","2022","50-59","National Records of Scotland","EO","20","20","29490","30040"
"In post","2022","50-59","National Records of Scotland","G6/G7","15","15","66530","66290"
"In post","2022","50-59","National Records of Scotland","SEO/HEO","45","45","41520","40130"
"In post","2022","50-59","National Savings and Investments","EO","5","5","[c]","[c]"
"In post","2022","50-59","National Savings and Investments","G6/G7","25","25","59940","57940"
"In post","2022","50-59","National Savings and Investments","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","National Savings and Investments","SEO/HEO","20","20","43370","40800"
"In post","2022","50-59","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Northern Ireland Office","EO","5","5","[c]","[c]"
"In post","2022","50-59","Northern Ireland Office","G6/G7","10","10","53660","54270"
"In post","2022","50-59","Northern Ireland Office","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Northern Ireland Office","SEO/HEO","15","15","36690","36720"
"In post","2022","50-59","Office for Budget Responsibility","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office for Standards in Education, Children's Services and Skills","AA/AO","45","40","21470","21410"
"In post","2022","50-59","Office for Standards in Education, Children's Services and Skills","EO","30","30","26460","25880"
"In post","2022","50-59","Office for Standards in Education, Children's Services and Skills","G6/G7","250","245","74320","75500"
"In post","2022","50-59","Office for Standards in Education, Children's Services and Skills","SCS level","15","15","105470","92490"
"In post","2022","50-59","Office for Standards in Education, Children's Services and Skills","SEO/HEO","225","220","46410","51360"
"In post","2022","50-59","Office of Gas and Electricity Markets","AA/AO","5","5","[c]","[c]"
"In post","2022","50-59","Office of Gas and Electricity Markets","EO","35","35","27330","28130"
"In post","2022","50-59","Office of Gas and Electricity Markets","G6/G7","70","70","64680","64670"
"In post","2022","50-59","Office of Gas and Electricity Markets","SCS level","15","15","108980","105940"
"In post","2022","50-59","Office of Gas and Electricity Markets","SEO/HEO","30","30","39360","40380"
"In post","2022","50-59","Office of Qualifications and Examinations Regulation","EO","5","5","[c]","[c]"
"In post","2022","50-59","Office of Qualifications and Examinations Regulation","G6/G7","20","20","51960","49680"
"In post","2022","50-59","Office of Qualifications and Examinations Regulation","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Office of Qualifications and Examinations Regulation","SEO/HEO","20","20","36290","37270"
"In post","2022","50-59","Office of Rail and Road","EO","10","10","[c]","[c]"
"In post","2022","50-59","Office of Rail and Road","G6/G7","60","55","63910","63580"
"In post","2022","50-59","Office of Rail and Road","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Office of Rail and Road","SEO/HEO","20","20","41120","39330"
"In post","2022","50-59","Office of the Public Guardian","AA/AO","125","115","21040","20970"
"In post","2022","50-59","Office of the Public Guardian","EO","75","70","25320","25120"
"In post","2022","50-59","Office of the Public Guardian","G6/G7","10","10","53650","50640"
"In post","2022","50-59","Office of the Public Guardian","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Public Guardian","SEO/HEO","45","40","32730","30450"
"In post","2022","50-59","Office of the Scottish Charity Regulator","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Scottish Charity Regulator","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Scottish Charity Regulator","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Scottish Charity Regulator","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Scottish Charity Regulator","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","G6/G7","10","10","66500","62170"
"In post","2022","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","SEO/HEO","5","5","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Planning Inspectorate","AA/AO","35","30","22060","22560"
"In post","2022","50-59","Planning Inspectorate","EO","25","20","27020","27530"
"In post","2022","50-59","Planning Inspectorate","G6/G7","130","120","58530","58810"
"In post","2022","50-59","Planning Inspectorate","SEO/HEO","40","40","36880","34860"
"In post","2022","50-59","Queen Elizabeth II Centre","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Queen Elizabeth II Centre","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Queen Elizabeth II Centre","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Queen Elizabeth II Centre","SEO/HEO","10","10","[c]","[c]"
"In post","2022","50-59","Registers of Scotland","AA/AO","85","75","24850","25050"
"In post","2022","50-59","Registers of Scotland","EO","105","100","30820","30840"
"In post","2022","50-59","Registers of Scotland","G6/G7","25","25","63560","62000"
"In post","2022","50-59","Registers of Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Registers of Scotland","SEO/HEO","145","140","40920","37710"
"In post","2022","50-59","Revenue Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Revenue Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Revenue Scotland","G6/G7","5","5","[c]","[c]"
"In post","2022","50-59","Revenue Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Revenue Scotland","SEO/HEO","10","5","[c]","[c]"
"In post","2022","50-59","Royal Fleet Auxiliary","Unknown","485","485","42550","37300"
"In post","2022","50-59","Rural Payments Agency","AA/AO","260","235","21300","21300"
"In post","2022","50-59","Rural Payments Agency","EO","165","150","25840","25950"
"In post","2022","50-59","Rural Payments Agency","G6/G7","50","50","53360","50440"
"In post","2022","50-59","Rural Payments Agency","SCS level","5","5","[c]","[c]"
"In post","2022","50-59","Rural Payments Agency","SEO/HEO","145","135","33210","31900"
"In post","2022","50-59","Scottish Courts and Tribunals Service","AA/AO","290","255","22290","22000"
"In post","2022","50-59","Scottish Courts and Tribunals Service","EO","115","110","29830","30450"
"In post","2022","50-59","Scottish Courts and Tribunals Service","G6/G7","25","25","61610","60820"
"In post","2022","50-59","Scottish Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Scottish Courts and Tribunals Service","SEO/HEO","105","100","39700","36360"
"In post","2022","50-59","Scottish Fiscal Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Scottish Fiscal Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Scottish Forestry","AA/AO","20","20","24530","24020"
"In post","2022","50-59","Scottish Forestry","EO","10","10","32050","31060"
"In post","2022","50-59","Scottish Forestry","G6/G7","15","15","60230","59590"
"In post","2022","50-59","Scottish Forestry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Scottish Forestry","SEO/HEO","20","20","42960","44040"
"In post","2022","50-59","Scottish Government (excl. agencies)","AA/AO","200","190","25270","24400"
"In post","2022","50-59","Scottish Government (excl. agencies)","EO","215","205","30030","30040"
"In post","2022","50-59","Scottish Government (excl. agencies)","G6/G7","725","700","65570","62170"
"In post","2022","50-59","Scottish Government (excl. agencies)","SCS level","95","95","90250","83230"
"In post","2022","50-59","Scottish Government (excl. agencies)","SEO/HEO","855","830","42150","43000"
"In post","2022","50-59","Scottish Housing Regulator","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Scottish Housing Regulator","G6/G7","10","10","67060","62170"
