"Status","Year","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Communications","LGBO","50","[c]","33320","31950"
"New entrant CS","2022","Communications","Undeclared","105","[c]","36320","30590"
"New entrant CS","2022","Communications","Unknown","145","[c]","35450","34260"
"New entrant CS","2022","Corporate Finance","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Heterosexual / straight","575","[c]","26310","27570"
"New entrant CS","2022","Counter Fraud","LGBO","40","[c]","26250","27570"
"New entrant CS","2022","Counter Fraud","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2022","Counter Fraud","Unknown","60","[c]","26370","27570"
"New entrant CS","2022","Digital, Data and Technology","Heterosexual / straight","1620","[c]","38290","35900"
"New entrant CS","2022","Digital, Data and Technology","LGBO","175","[c]","36000","33080"
"New entrant CS","2022","Digital, Data and Technology","Undeclared","230","[c]","36660","33080"
"New entrant CS","2022","Digital, Data and Technology","Unknown","770","[c]","38930","35050"
"New entrant CS","2022","Economics","Heterosexual / straight","245","[c]","34610","31000"
"New entrant CS","2022","Economics","LGBO","35","[c]","34420","31800"
"New entrant CS","2022","Economics","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2022","Economics","Unknown","90","[c]","32570","32390"
"New entrant CS","2022","Finance","Heterosexual / straight","730","[c]","34900","32970"
"New entrant CS","2022","Finance","LGBO","60","[c]","36170","31570"
"New entrant CS","2022","Finance","Undeclared","140","[c]","35770","30690"
"New entrant CS","2022","Finance","Unknown","280","[c]","35350","33000"
"New entrant CS","2022","Geography","Heterosexual / straight","55","[c]","27530","20420"
"New entrant CS","2022","Geography","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Geography","Unknown","30","[c]","27530","20420"
"New entrant CS","2022","Human Resources","Heterosexual / straight","715","[c]","33180","30200"
"New entrant CS","2022","Human Resources","LGBO","85","[c]","33560","27840"
"New entrant CS","2022","Human Resources","Undeclared","90","[c]","28780","27270"
"New entrant CS","2022","Human Resources","Unknown","255","[c]","35790","29180"
"New entrant CS","2022","Inspector of Education and Training","Heterosexual / straight","150","[c]","58610","51360"
"New entrant CS","2022","Inspector of Education and Training","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Heterosexual / straight","100","[c]","29630","28700"
"New entrant CS","2022","Intelligence Analysis","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2022","Intelligence Analysis","Unknown","95","[c]","29320","28700"
"New entrant CS","2022","Internal Audit","Heterosexual / straight","50","[c]","39820","39200"
"New entrant CS","2022","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2022","Internal Audit","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Heterosexual / straight","110","[c]","37410","31800"
"New entrant CS","2022","International Trade","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2022","International Trade","Unknown","70","[c]","36240","31800"
"New entrant CS","2022","Knowledge and Information Management","Heterosexual / straight","155","[c]","31010","29090"
"New entrant CS","2022","Knowledge and Information Management","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2022","Knowledge and Information Management","Unknown","35","[c]","30630","27340"
"New entrant CS","2022","Legal","Heterosexual / straight","690","[c]","43680","43920"
"New entrant CS","2022","Legal","LGBO","45","[c]","38830","39000"
"New entrant CS","2022","Legal","Undeclared","40","[c]","44030","41750"
"New entrant CS","2022","Legal","Unknown","165","[c]","36480","34260"
"New entrant CS","2022","Medicine","Heterosexual / straight","195","[c]","52860","40070"
"New entrant CS","2022","Medicine","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2022","Medicine","Unknown","115","[c]","45900","39030"
"New entrant CS","2022","Operational Delivery","Heterosexual / straight","21150","[c]","26420","24430"
"New entrant CS","2022","Operational Delivery","LGBO","2145","[c]","25780","23170"
"New entrant CS","2022","Operational Delivery","Undeclared","1405","[c]","28090","25860"
"New entrant CS","2022","Operational Delivery","Unknown","12120","[c]","25870","23720"
"New entrant CS","2022","Operational Research","Heterosexual / straight","60","[c]","32580","31000"
"New entrant CS","2022","Operational Research","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2022","Operational Research","Unknown","40","[c]","32370","29230"
"New entrant CS","2022","Other","Heterosexual / straight","1660","[c]","27540","23470"
"New entrant CS","2022","Other","LGBO","160","[c]","26900","23450"
"New entrant CS","2022","Other","Undeclared","105","[c]","29800","26950"
"New entrant CS","2022","Other","Unknown","710","[c]","25880","21640"
"New entrant CS","2022","Planning","Heterosexual / straight","50","[c]","42600","41980"
"New entrant CS","2022","Planning","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2022","Planning","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Policy","Heterosexual / straight","2465","[c]","36610","33570"
"New entrant CS","2022","Policy","LGBO","365","[c]","35330","33210"
"New entrant CS","2022","Policy","Undeclared","320","[c]","35990","33210"
"New entrant CS","2022","Policy","Unknown","750","[c]","36980","34000"
"New entrant CS","2022","Project Delivery","Heterosexual / straight","750","[c]","37750","34710"
"New entrant CS","2022","Project Delivery","LGBO","65","[c]","34960","33160"
"New entrant CS","2022","Project Delivery","Undeclared","60","[c]","36870","34510"
"New entrant CS","2022","Project Delivery","Unknown","355","[c]","36750","35050"
"New entrant CS","2022","Property","Heterosexual / straight","450","[c]","35990","33000"
"New entrant CS","2022","Property","LGBO","35","[c]","34660","28470"
"New entrant CS","2022","Property","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2022","Property","Unknown","265","[c]","32290","27650"
"New entrant CS","2022","Psychology","Heterosexual / straight","115","[c]","26970","27700"
"New entrant CS","2022","Psychology","LGBO","20","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Psychology","Unknown","50","[c]","25820","24620"
"New entrant CS","2022","Science and Engineering","Heterosexual / straight","1020","[c]","33520","31000"
"New entrant CS","2022","Science and Engineering","LGBO","100","[c]","29330","27540"
"New entrant CS","2022","Science and Engineering","Undeclared","135","[c]","33420","30000"
"New entrant CS","2022","Science and Engineering","Unknown","440","[c]","29100","26360"
"New entrant CS","2022","Security","Heterosexual / straight","355","[c]","28970","25000"
"New entrant CS","2022","Security","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2022","Security","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2022","Security","Unknown","275","[c]","27250","25000"
"New entrant CS","2022","Social Research","Heterosexual / straight","195","[c]","34870","31210"
"New entrant CS","2022","Social Research","LGBO","35","[c]","32000","30710"
"New entrant CS","2022","Social Research","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2022","Social Research","Unknown","50","[c]","33960","33650"
"New entrant CS","2022","Statistics","Heterosexual / straight","225","[c]","33090","30710"
"New entrant CS","2022","Statistics","LGBO","40","[c]","31950","30710"
"New entrant CS","2022","Statistics","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2022","Statistics","Unknown","85","[c]","28170","26350"
"New entrant CS","2022","Tax","Heterosexual / straight","1460","[c]","27670","26590"
"New entrant CS","2022","Tax","LGBO","180","[c]","27010","26590"
"New entrant CS","2022","Tax","Undeclared","80","[c]","27310","26590"
"New entrant CS","2022","Tax","Unknown","825","[c]","26940","26590"
"New entrant CS","2022","Unknown","Heterosexual / straight","3340","[c]","32190","27570"
"New entrant CS","2022","Unknown","LGBO","450","[c]","31070","27500"
"New entrant CS","2022","Unknown","Undeclared","310","[c]","33470","29290"
"New entrant CS","2022","Unknown","Unknown","3975","[c]","33090","28000"
"New entrant CS","2022","Veterinarian","Heterosexual / straight","35","[c]","35800","35900"
"New entrant CS","2022","Veterinarian","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2022","Veterinarian","Unknown","10","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Profession_of_post","Professions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Cabinet Office (excl agencies) reported profession information for only 60 out of a total 9,930 employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any professions information for their employees.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
