"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","The Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","325","315","43920","43340"
"In post","2022","The National Archives","The National Archives","AA/AO","AA","10","10","19120","20120"
"In post","2022","The National Archives","The National Archives","AA/AO","AO","90","80","21870","21150"
"In post","2022","The National Archives","The National Archives","EO","EO","75","70","25130","24630"
"In post","2022","The National Archives","The National Archives","G6/G7","G6","25","25","62300","61950"
"In post","2022","The National Archives","The National Archives","G6/G7","G7","70","70","49050","47930"
"In post","2022","The National Archives","The National Archives","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","The National Archives","The National Archives","SEO/HEO","HEO","140","135","30690","30000"
"In post","2022","The National Archives","The National Archives","SEO/HEO","SEO","155","150","40660","39040"
"In post","2022","Transport Scotland","Scottish Government","AA/AO","AA","30","30","22610","23230"
"In post","2022","Transport Scotland","Scottish Government","AA/AO","AO","25","25","25100","25120"
"In post","2022","Transport Scotland","Scottish Government","EO","EO","45","40","28870","28990"
"In post","2022","Transport Scotland","Scottish Government","G6/G7","G6","50","50","73530","75340"
"In post","2022","Transport Scotland","Scottish Government","G6/G7","G7","100","100","59070","62170"
"In post","2022","Transport Scotland","Scottish Government","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Transport Scotland","Scottish Government","SEO/HEO","HEO","105","105","34140","34600"
"In post","2022","Transport Scotland","Scottish Government","SEO/HEO","SEO","160","155","45560","47490"
"In post","2022","UK Debt Management Office","HM Treasury","EO","EO","10","10","29540","29630"
"In post","2022","UK Debt Management Office","HM Treasury","G6/G7","G6","20","20","89160","84770"
"In post","2022","UK Debt Management Office","HM Treasury","G6/G7","G7","40","40","63880","61000"
"In post","2022","UK Debt Management Office","HM Treasury","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","UK Debt Management Office","HM Treasury","SEO/HEO","HEO","20","20","37790","37390"
"In post","2022","UK Debt Management Office","HM Treasury","SEO/HEO","SEO","25","25","46050","45000"
"In post","2022","UK Export Finance","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","UK Export Finance","EO","EO","65","60","29410","29000"
"In post","2022","UK Export Finance","UK Export Finance","G6/G7","G6","60","60","76730","76020"
"In post","2022","UK Export Finance","UK Export Finance","G6/G7","G7","110","110","60180","60060"
"In post","2022","UK Export Finance","UK Export Finance","SCS level","SCS level","30","30","116880","101500"
"In post","2022","UK Export Finance","UK Export Finance","SEO/HEO","HEO","85","85","34980","33500"
"In post","2022","UK Export Finance","UK Export Finance","SEO/HEO","SEO","145","145","45660","44080"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","AA/AO","AA","140","110","20610","19520"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","AA/AO","AO","605","535","21740","21820"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","EO","EO","930","865","26190","26880"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","G6/G7","G6","545","515","69930","66230"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","G6/G7","G7","1180","1145","53180","52610"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","SCS level","SCS level","405","365","105250","101360"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","SEO/HEO","HEO","1410","1315","32070","32330"
"In post","2022","UK Health Security Agency","Department of Health and Social Care","SEO/HEO","SEO","1390","1315","40140","40070"
"In post","2022","UK Hydrographic Office","Ministry of Defence","AA/AO","AO","100","100","20580","20420"
"In post","2022","UK Hydrographic Office","Ministry of Defence","EO","EO","230","215","27700","26740"
"In post","2022","UK Hydrographic Office","Ministry of Defence","G6/G7","G6","15","15","70220","68420"
"In post","2022","UK Hydrographic Office","Ministry of Defence","G6/G7","G7","60","60","55190","53720"
"In post","2022","UK Hydrographic Office","Ministry of Defence","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","UK Hydrographic Office","Ministry of Defence","SEO/HEO","HEO","300","285","33870","33290"
"In post","2022","UK Hydrographic Office","Ministry of Defence","SEO/HEO","SEO","200","195","43830","42510"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","EO","EO","15","15","26550","27570"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","G6","30","30","64220","64700"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","G6/G7","G7","85","85","52140","53380"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","45","45","32730","33570"
"In post","2022","UK Space Agency","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","80","75","39160","40050"
"In post","2022","UK Statistics Authority","UK Statistics Authority","AA/AO","AA","405","250","20280","19300"
"In post","2022","UK Statistics Authority","UK Statistics Authority","AA/AO","AO","1120","835","20360","20350"
"In post","2022","UK Statistics Authority","UK Statistics Authority","EO","EO","735","690","24600","23880"
"In post","2022","UK Statistics Authority","UK Statistics Authority","G6/G7","G6","220","215","62190","60940"
"In post","2022","UK Statistics Authority","UK Statistics Authority","G6/G7","G7","860","835","51660","50210"
"In post","2022","UK Statistics Authority","UK Statistics Authority","SCS level","SCS level","80","80","84820","76380"
"In post","2022","UK Statistics Authority","UK Statistics Authority","SEO/HEO","HEO","1315","1260","31120","30710"
"In post","2022","UK Statistics Authority","UK Statistics Authority","SEO/HEO","SEO","1155","1105","38030","37660"
"In post","2022","UK Supreme Court","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","UK Supreme Court","EO","EO","20","20","27280","27310"
"In post","2022","UK Supreme Court","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","UK Supreme Court","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","UK Supreme Court","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","UK Supreme Court","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","UK Supreme Court","UK Supreme Court","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","AA/AO","AO","845","780","22340","22010"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","EO","EO","1015","940","27420","26950"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","G6/G7","G6","80","80","70190","70120"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","G6/G7","G7","390","370","57490","57150"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","SCS level","SCS level","20","20","84890","79930"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","HEO","785","750","33360","33370"
"In post","2022","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","SEO","720","675","44700","44530"
"In post","2022","Vehicle Certification Agency","Department for Transport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Department for Transport","AA/AO","AO","45","45","21750","21840"
"In post","2022","Vehicle Certification Agency","Department for Transport","EO","EO","40","40","26890","27250"
"In post","2022","Vehicle Certification Agency","Department for Transport","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Department for Transport","G6/G7","G7","15","15","64010","61500"
"In post","2022","Vehicle Certification Agency","Department for Transport","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Vehicle Certification Agency","Department for Transport","SEO/HEO","HEO","60","60","37320","37260"
"In post","2022","Vehicle Certification Agency","Department for Transport","SEO/HEO","SEO","40","35","46520","45080"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","AA/AO","AO","30","30","24270","24370"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","EO","EO","25","25","28140","28260"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","G6/G7","G6","10","10","65660","65290"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","G6/G7","G7","50","45","54490","53870"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","25","25","33250","32920"
"In post","2022","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","35","35","39320","38810"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","EO","EO","45","45","29340","28000"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","G6","30","30","94530","91610"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","G7","40","35","71930","70960"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","HEO","85","80","41120","40800"
"In post","2022","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","SEO","50","45","57210","56200"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","AA/AO","AO","860","790","24250","24630"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","EO","EO","1090","1025","28840","29430"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","G6/G7","G6","230","220","72650","75480"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","G6/G7","G7","855","820","59720","61440"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","SCS level","SCS level","190","180","87050","79500"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","SEO/HEO","HEO","1450","1370","37320","38160"
"In post","2022","Welsh Government (excl. agencies)","Welsh Government","SEO/HEO","SEO","1210","1150","46300","47470"
"In post","2022","Welsh Revenue Authority","Welsh Government","AA/AO","AO","10","10","24310","24630"
"In post","2022","Welsh Revenue Authority","Welsh Government","EO","EO","15","15","27730","26820"
"In post","2022","Welsh Revenue Authority","Welsh Government","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Welsh Government","G6/G7","G7","15","15","58370","61440"
"In post","2022","Welsh Revenue Authority","Welsh Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Welsh Revenue Authority","Welsh Government","SEO/HEO","HEO","15","15","34970","35180"
"In post","2022","Welsh Revenue Authority","Welsh Government","SEO/HEO","SEO","15","15","44850","47470"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","AA/AO","AO","15","15","25800","25580"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","EO","EO","25","20","27200","25580"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","G6/G7","G7","10","10","56650","57330"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","20","15","33410","32700"
"In post","2022","Wilton Park","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Scottish Government","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Scottish Government","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","EO","30","[c]","25120","24250"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","15","[c]","34370","34460"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","15","[c]","42940","43440"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","AO","100","[c]","22140","21300"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","EO","70","[c]","25640","25100"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","35","[c]","31330","31480"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","50","[c]","40580","38400"
"Leaver CS","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Attorney General's Departments","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Attorney General's Departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","AO","80","[c]","20570","20800"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","EO","EO","70","[c]","27100","27500"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G6","80","[c]","73890","70310"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","G7","190","[c]","58990","56520"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","SCS level","75","[c]","105370","95390"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","HEO","145","[c]","32610","33300"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","SEO","70","[c]","40780","40600"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","10","[c]","29970","30220"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","10","[c]","37930","37280"
"Leaver CS","2022","Charity Commission","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","EO","EO","20","[c]","24600","24440"
"Leaver CS","2022","Charity Commission","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Charity Commission","G6/G7","G7","10","[c]","55620","54980"
"Leaver CS","2022","Charity Commission","Charity Commission","SEO/HEO","HEO","10","[c]","29360","29160"
"Leaver CS","2022","Charity Commission","Charity Commission","SEO/HEO","SEO","10","[c]","37400","37910"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","AO","40","[c]","21480","22490"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","EO","EO","15","[c]","29000","27460"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","15","[c]","34880","36220"
"Leaver CS","2022","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","AA/AO","AO","10","[c]","23000","22770"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G6","10","[c]","75550","76140"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","G6/G7","G7","30","[c]","57480","57540"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","HEO","25","[c]","34880","34570"
"Leaver CS","2022","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Ministry of Justice","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","AA/AO","AO","10","[c]","18580","19600"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","EO","EO","10","[c]","24670","23880"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","G6/G7","G7","15","[c]","52160","52130"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","SEO/HEO","HEO","15","[c]","30990","30680"
"Leaver CS","2022","Crown Commercial Service","Cabinet Office","SEO/HEO","SEO","20","[c]","38350","38650"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","AO","60","[c]","22470","23230"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","EO","EO","10","[c]","28540","27940"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","HEO","10","[c]","34880","36130"
"Leaver CS","2022","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","SEO","20","[c]","51710","53490"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","AA/AO","AO","135","[c]","22180","22200"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","EO","EO","45","[c]","28110","28430"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","G6/G7","G7","160","[c]","56810","55610"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","HEO","50","[c]","36270","38000"
"Leaver CS","2022","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","EO","EO","15","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","EO","EO","320","[c]","21710","20600"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","G6/G7","G6","20","[c]","69250","67850"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","G6/G7","G7","65","[c]","54070","54190"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","SCS level","SCS level","10","[c]","100850","94340"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","SEO/HEO","HEO","265","[c]","30470","30500"
"Leaver CS","2022","Defence Equipment and Support","Ministry of Defence","SEO/HEO","SEO","205","[c]","41450","41000"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AA","40","[c]","17680","17540"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AO","15","[c]","19370","18330"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","EO","EO","15","[c]","23560","23490"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G7","85","[c]","51260","48120"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","HEO","85","[c]","29770","29230"
"Leaver CS","2022","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","SEO","55","[c]","38610","38070"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","AO","15","[c]","25000","24900"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","EO","30","[c]","27700","27680"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G6","25","[c]","66410","64990"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G7","100","[c]","53930","53380"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","15","[c]","88900","77120"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","60","[c]","33160","33570"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","55","[c]","40170","40050"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","EO","30","[c]","26150","26180"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G7","40","[c]","52770","51730"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","65","[c]","35420","34020"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","AA/AO","AO","15","[c]","22560","21250"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","EO","EO","90","[c]","26540","25000"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","G6/G7","G6","30","[c]","65860","65070"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","G6/G7","G7","65","[c]","53420","53420"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","SCS level","SCS level","15","[c]","85190","77820"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","SEO/HEO","HEO","65","[c]","32690","32870"
"Leaver CS","2022","Department for Education (excl. agencies)","Department for Education","SEO/HEO","SEO","80","[c]","38900","37100"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","AO","35","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","EO","50","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","G7","65","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","165","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","85","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","EO","EO","80","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","G6/G7","G7","45","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","Department for International Trade","SCS level","SCS level","10","[c]","[c]","[c]"
