"Status","Year","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","Outside London","20","20","47210","46180"
"In post","2022","Digital, Data & Technology","Welsh Revenue Authority","Outside London","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Advisory, Conciliation and Arbitration Service","London","10","10","[c]","[c]"
"In post","2022","Finance","Advisory, Conciliation and Arbitration Service","Outside London","10","10","27090","24710"
"In post","2022","Finance","Cabinet Office (excl. agencies)","London","95","90","47730","42760"
"In post","2022","Finance","Cabinet Office (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","Finance","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Centre for Environment, Fisheries and Aquaculture Science","Outside London","10","10","35390","25460"
"In post","2022","Finance","Charity Commission","Outside London","10","10","36620","33810"
"In post","2022","Finance","Companies House","Outside London","70","65","30060","24730"
"In post","2022","Finance","Competition and Markets Authority","London","15","15","46330","38060"
"In post","2022","Finance","Crown Commercial Service","Outside London","35","35","48790","42470"
"In post","2022","Finance","Crown Office and Procurator Fiscal Service","Outside London","20","20","39880","39730"
"In post","2022","Finance","Crown Prosecution Service","London","15","15","42050","39750"
"In post","2022","Finance","Crown Prosecution Service","Outside London","75","70","29250","25480"
"In post","2022","Finance","Defence Electronics and Components Agency","Outside London","10","10","[c]","[c]"
"In post","2022","Finance","Defence Equipment and Support","Outside London","315","300","33890","28900"
"In post","2022","Finance","Defence Science and Technology Laboratory","Outside London","65","60","42510","40420"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","125","125","54130","53380"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","10","10","50250","47320"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","London","60","60","52100","55860"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","Outside London","10","10","52390","56360"
"In post","2022","Finance","Department for Education (excl. agencies)","London","100","95","49520","53420"
"In post","2022","Finance","Department for Education (excl. agencies)","Outside London","375","365","39710","36560"
"In post","2022","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","London","60","60","47450","41110"
"In post","2022","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","375","365","40830","37180"
"In post","2022","Finance","Department for International Trade","London","90","90","47800","44720"
"In post","2022","Finance","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","London","75","75","53640","53130"
"In post","2022","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","45","40","46550","41300"
"In post","2022","Finance","Department for Transport (excl. agencies)","London","150","150","52640","54110"
"In post","2022","Finance","Department for Transport (excl. agencies)","Outside London","35","35","36560","31380"
"In post","2022","Finance","Department for Work and Pensions (excl. agencies)","London","280","270","44720","39960"
"In post","2022","Finance","Department for Work and Pensions (excl. agencies)","Outside London","1640","1525","36860","34290"
"In post","2022","Finance","Department for Work and Pensions (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Finance","Department of Health and Social Care (excl. agencies)","London","255","250","44560","40650"
"In post","2022","Finance","Department of Health and Social Care (excl. agencies)","Outside London","245","235","39560","36820"
"In post","2022","Finance","Department of Health and Social Care (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Finance","Driver and Vehicle Licensing Agency","Outside London","140","130","33050","30730"
"In post","2022","Finance","Driver and Vehicle Standards Agency","Outside London","100","95","37990","33860"
"In post","2022","Finance","Education and Skills Funding Agency","London","65","60","48220","43190"
"In post","2022","Finance","Education and Skills Funding Agency","Outside London","725","705","39190","36500"
"In post","2022","Finance","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","FCDO Services","Outside London","50","50","38360","31890"
"In post","2022","Finance","Food Standards Agency","London","5","5","[c]","[c]"
"In post","2022","Finance","Food Standards Agency","Outside London","45","45","42770","38760"
"In post","2022","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","London","125","120","51270","49400"
"In post","2022","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","130","125","40860","38850"
"In post","2022","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Government Actuary's Department","London","10","10","[c]","[c]"
"In post","2022","Finance","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Government Internal Audit Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Finance","Government Legal Department","London","40","40","37980","31370"
"In post","2022","Finance","Health and Safety Executive","Outside London","35","35","47710","43380"
"In post","2022","Finance","HM Courts and Tribunals Service","London","75","70","45070","41750"
"In post","2022","Finance","HM Courts and Tribunals Service","Outside London","90","85","35850","30450"
"In post","2022","Finance","HM Land Registry","London","35","35","49650","44260"
"In post","2022","Finance","HM Land Registry","Outside London","15","15","48060","49110"
"In post","2022","Finance","HM Revenue and Customs (excl. agencies)","London","490","470","48850","43810"
"In post","2022","Finance","HM Revenue and Customs (excl. agencies)","Outside London","2200","1960","31110","26820"
"In post","2022","Finance","HM Treasury (excl. agencies)","London","85","85","52890","56980"
"In post","2022","Finance","HM Treasury (excl. agencies)","Outside London","15","15","35110","26050"
"In post","2022","Finance","Institute for Apprenticeships and Technical Education","London","5","5","[c]","[c]"
"In post","2022","Finance","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Intellectual Property Office","Outside London","30","25","43790","44380"
"In post","2022","Finance","Legal Aid Agency","Outside London","10","10","23080","23230"
"In post","2022","Finance","Maritime and Coastguard Agency","Outside London","35","35","36790","30730"
"In post","2022","Finance","Medicines and Healthcare Products Regulatory Agency","London","30","30","44650","32800"
"In post","2022","Finance","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Met Office","Outside London","30","30","45590","47960"
"In post","2022","Finance","Ministry of Defence (excl. agencies)","London","200","195","48950","44500"
"In post","2022","Finance","Ministry of Defence (excl. agencies)","Outside London","1390","1335","36870","33300"
"In post","2022","Finance","Ministry of Defence (excl. agencies)","Overseas","35","35","34830","33300"
"In post","2022","Finance","Ministry of Justice (excl. agencies)","London","255","250","48220","42930"
"In post","2022","Finance","Ministry of Justice (excl. agencies)","Outside London","280","270","39310","36790"
"In post","2022","Finance","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","National Crime Agency","London","10","10","[c]","[c]"
"In post","2022","Finance","National Crime Agency","Outside London","50","45","36430","36740"
"In post","2022","Finance","National Savings and Investments","London","25","25","49490","45860"
"In post","2022","Finance","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Northern Ireland Office","Outside London","10","10","[c]","[c]"
"In post","2022","Finance","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office for Standards in Education, Children's Services and Skills","Outside London","30","30","40590","32010"
"In post","2022","Finance","Office of Gas and Electricity Markets","London","15","15","43920","43850"
"In post","2022","Finance","Office of Gas and Electricity Markets","Outside London","20","15","46760","42200"
"In post","2022","Finance","Office of Qualifications and Examinations Regulation","Outside London","10","10","31960","23720"
"In post","2022","Finance","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2022","Finance","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Planning Inspectorate","Outside London","15","15","41740","40720"
"In post","2022","Finance","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Registers of Scotland","Outside London","25","25","34910","31610"
"In post","2022","Finance","Scottish Courts and Tribunals Service","Outside London","35","35","38740","38640"
"In post","2022","Finance","Scottish Prison Service","Outside London","70","65","33660","26900"
"In post","2022","Finance","Serious Fraud Office","London","15","15","52930","55770"
"In post","2022","Finance","Submarine Delivery Agency","Outside London","50","45","52820","46000"
"In post","2022","Finance","The Insolvency Service","London","10","10","[c]","[c]"
"In post","2022","Finance","The Insolvency Service","Outside London","35","30","40860","41870"
"In post","2022","Finance","The National Archives","London","10","10","43840","45000"
"In post","2022","Finance","UK Debt Management Office","London","10","10","61180","55270"
"In post","2022","Finance","UK Export Finance","London","65","65","47310","39960"
"In post","2022","Finance","UK Health Security Agency","London","35","35","48060","41950"
"In post","2022","Finance","UK Health Security Agency","Outside London","70","70","39150","36330"
"In post","2022","Finance","UK Hydrographic Office","Outside London","15","15","43060","34000"
"In post","2022","Finance","UK Space Agency","London","5","5","[c]","[c]"
"In post","2022","Finance","UK Space Agency","Outside London","10","10","[c]","[c]"
"In post","2022","Finance","UK Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","UK Statistics Authority","Outside London","50","45","34070","30210"
"In post","2022","Finance","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Valuation Office Agency","London","15","15","54410","48680"
"In post","2022","Finance","Valuation Office Agency","Outside London","60","55","40240","38250"
"In post","2022","Finance","Vehicle Certification Agency","Outside London","10","10","35950","27620"
"In post","2022","Finance","Veterinary Medicines Directorate","Outside London","5","5","[c]","[c]"
"In post","2022","Finance","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Water Services Regulation Authority","Outside London","25","25","60570","56360"
"In post","2022","Finance","Welsh Revenue Authority","Outside London","10","10","40030","29430"
"In post","2022","Finance","Wilton Park","Outside London","5","5","[c]","[c]"
"In post","2022","Grants Management","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Rural Payments Agency","Outside London","2315","2125","25150","21300"
"In post","2022","Grants Management","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Advisory, Conciliation and Arbitration Service","London","15","15","39430","36350"
"In post","2022","Human Resources","Advisory, Conciliation and Arbitration Service","Outside London","15","15","37930","39580"
"In post","2022","Human Resources","Cabinet Office (excl. agencies)","London","435","420","47900","42270"
"In post","2022","Human Resources","Cabinet Office (excl. agencies)","Outside London","690","650","34180","32000"
"In post","2022","Human Resources","Cabinet Office (excl. agencies)","Unknown","25","25","42030","37300"
"In post","2022","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","Outside London","15","10","34450","29750"
"In post","2022","Human Resources","Charity Commission","Outside London","20","15","33830","29220"
"In post","2022","Human Resources","Companies House","Outside London","55","55","37260","39820"
"In post","2022","Human Resources","Competition and Markets Authority","London","40","40","49600","44360"
"In post","2022","Human Resources","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Crown Commercial Service","Outside London","35","35","40550","39360"
"In post","2022","Human Resources","Crown Office and Procurator Fiscal Service","Outside London","45","45","35020","31540"
"In post","2022","Human Resources","Crown Prosecution Service","London","50","50","46720","40590"
"In post","2022","Human Resources","Crown Prosecution Service","Outside London","130","125","39410","33730"
"In post","2022","Human Resources","Defence Electronics and Components Agency","Outside London","10","10","[c]","[c]"
"In post","2022","Human Resources","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Defence Equipment and Support","Outside London","225","210","37450","32710"
"In post","2022","Human Resources","Defence Science and Technology Laboratory","Outside London","85","80","35030","29230"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","85","80","48950","53380"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","30","30","42170","38650"
"In post","2022","Human Resources","Department for Digital, Culture, Media and Sport","London","60","55","44170","35520"
"In post","2022","Human Resources","Department for Digital, Culture, Media and Sport","Outside London","20","20","43070","38000"
"In post","2022","Human Resources","Department for Education (excl. agencies)","London","15","15","47560","47180"
"In post","2022","Human Resources","Department for Education (excl. agencies)","Outside London","130","125","33770","29360"
"In post","2022","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","London","55","55","44800","41640"
"In post","2022","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","255","240","40790","37340"
"In post","2022","Human Resources","Department for International Trade","London","110","110","44200","38540"
"In post","2022","Human Resources","Department for International Trade","Outside London","10","10","47840","48220"
"In post","2022","Human Resources","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","London","30","30","52470","53130"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","50","45","36140","30190"
"In post","2022","Human Resources","Department for Transport (excl. agencies)","London","55","55","48540","46710"
"In post","2022","Human Resources","Department for Transport (excl. agencies)","Outside London","40","40","38100","33350"
"In post","2022","Human Resources","Department for Work and Pensions (excl. agencies)","London","245","235","40070","36650"
"In post","2022","Human Resources","Department for Work and Pensions (excl. agencies)","Outside London","1260","1170","33080","27570"
"In post","2022","Human Resources","Department for Work and Pensions (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Human Resources","Department of Health and Social Care (excl. agencies)","London","115","115","39410","32790"
"In post","2022","Human Resources","Department of Health and Social Care (excl. agencies)","Outside London","35","35","37120","32790"
"In post","2022","Human Resources","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Driver and Vehicle Licensing Agency","Outside London","190","180","31740","30730"
"In post","2022","Human Resources","Driver and Vehicle Standards Agency","London","5","5","[c]","[c]"
"In post","2022","Human Resources","Driver and Vehicle Standards Agency","Outside London","115","110","35740","33350"
"In post","2022","Human Resources","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Education and Skills Funding Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","FCDO Services","Outside London","40","40","40150","33990"
"In post","2022","Human Resources","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Food Standards Agency","Outside London","35","35","40370","37350"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","London","205","200","50410","47780"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","60","60","38200","33930"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","25","25","45550","39230"
"In post","2022","Human Resources","Government Actuary's Department","London","10","10","42450","35840"
"In post","2022","Human Resources","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Government Internal Audit Agency","Outside London","10","10","[c]","[c]"
"In post","2022","Human Resources","Government Legal Department","London","65","65","37680","31410"
"In post","2022","Human Resources","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Health and Safety Executive","Outside London","105","100","39410","39330"
"In post","2022","Human Resources","HM Courts and Tribunals Service","London","25","20","51830","54270"
"In post","2022","Human Resources","HM Courts and Tribunals Service","Outside London","45","45","37220","36050"
"In post","2022","Human Resources","HM Land Registry","London","10","10","[c]","[c]"
"In post","2022","Human Resources","HM Land Registry","Outside London","95","85","37180","33840"
"In post","2022","Human Resources","HM Prison and Probation Service","London","50","50","53690","50990"
"In post","2022","Human Resources","HM Prison and Probation Service","Outside London","110","110","44480","44330"
"In post","2022","Human Resources","HM Revenue and Customs (excl. agencies)","London","180","175","51420","45450"
"In post","2022","Human Resources","HM Revenue and Customs (excl. agencies)","Outside London","1495","1390","35120","33080"
"In post","2022","Human Resources","HM Treasury (excl. agencies)","London","65","60","47830","52500"
"In post","2022","Human Resources","HM Treasury (excl. agencies)","Outside London","35","35","29510","24000"
"In post","2022","Human Resources","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Institute for Apprenticeships and Technical Education","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Intellectual Property Office","Outside London","60","55","36910","31050"
"In post","2022","Human Resources","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Maritime and Coastguard Agency","Outside London","35","30","34500","31600"
"In post","2022","Human Resources","Medicines and Healthcare Products Regulatory Agency","London","30","30","46630","40860"
"In post","2022","Human Resources","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Met Office","Outside London","75","70","39120","37420"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","London","290","280","47950","44500"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Outside London","1515","1410","28510","26350"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Overseas","10","10","37340","33460"
"In post","2022","Human Resources","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","London","285","280","46140","41750"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Outside London","655","625","37410","32700"
"In post","2022","Human Resources","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","National Crime Agency","London","50","45","46290","41470"
"In post","2022","Human Resources","National Crime Agency","Outside London","125","115","38270","36740"
"In post","2022","Human Resources","National Savings and Investments","London","5","5","[c]","[c]"
"In post","2022","Human Resources","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","Outside London","60","60","39760","32010"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","London","15","15","55040","57500"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","Outside London","25","25","33970","35000"
"In post","2022","Human Resources","Office of Qualifications and Examinations Regulation","Outside London","10","10","[c]","[c]"
"In post","2022","Human Resources","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2022","Human Resources","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of the Secretary of State for Wales","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Office of the Secretary of State for Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Planning Inspectorate","Outside London","15","15","35740","34860"
"In post","2022","Human Resources","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Registers of Scotland","Outside London","40","40","39000","37710"
"In post","2022","Human Resources","Scottish Courts and Tribunals Service","Outside London","30","30","35970","34950"
"In post","2022","Human Resources","Scottish Prison Service","Outside London","135","125","35630","35000"
"In post","2022","Human Resources","Serious Fraud Office","London","10","10","36720","33940"
"In post","2022","Human Resources","Submarine Delivery Agency","Outside London","30","30","42850","41040"
"In post","2022","Human Resources","The Insolvency Service","London","10","10","[c]","[c]"
"In post","2022","Human Resources","The Insolvency Service","Outside London","35","35","41730","41060"
"In post","2022","Human Resources","The National Archives","London","20","20","36180","30140"
"In post","2022","Human Resources","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Export Finance","London","30","30","47220","41100"
"In post","2022","Human Resources","UK Health Security Agency","London","150","145","40090","32790"
"In post","2022","Human Resources","UK Health Security Agency","Outside London","120","115","46830","48860"
"In post","2022","Human Resources","UK Hydrographic Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","UK Hydrographic Office","Outside London","20","20","34840","33290"
"In post","2022","Human Resources","UK Space Agency","London","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Space Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Statistics Authority","London","5","5","[c]","[c]"
"In post","2022","Human Resources","UK Statistics Authority","Outside London","140","130","38040","32740"
"In post","2022","Human Resources","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Valuation Office Agency","London","20","20","51010","48680"
"In post","2022","Human Resources","Valuation Office Agency","Outside London","70","65","37460","33560"
"In post","2022","Human Resources","Vehicle Certification Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Water Services Regulation Authority","Outside London","15","10","41340","40000"
"In post","2022","Human Resources","Welsh Revenue Authority","Outside London","5","5","[c]","[c]"
"In post","2022","Human Resources","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Food Standards Agency","Outside London","10","10","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","London","15","15","51440","42150"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","35","35","42230","38500"
"In post","2022","Internal Audit","Government Internal Audit Agency","London","145","140","52410","52140"
"In post","2022","Internal Audit","Government Internal Audit Agency","Outside London","220","205","47040","44590"
"In post","2022","Internal Audit","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2022","Internal Audit","HM Prison and Probation Service","London","20","20","49430","35900"
"In post","2022","Internal Audit","HM Prison and Probation Service","Outside London","40","40","47650","49300"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","London","20","15","50420","43810"
"In post","2022","Internal Audit","HM Revenue and Customs (excl. agencies)","Outside London","50","45","46130","43300"
"In post","2022","Internal Audit","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Maritime and Coastguard Agency","Outside London","20","20","38080","35410"
"In post","2022","Internal Audit","Met Office","Outside London","5","5","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","London","25","25","49230","44500"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Outside London","110","105","36940","33810"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Registers of Scotland","Outside London","10","10","[c]","[c]"
"In post","2022","Internal Audit","Scottish Prison Service","Outside London","5","5","[c]","[c]"
"In post","2022","Internal Audit","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Hydrographic Office","Outside London","10","10","39960","42510"
"In post","2022","Internal Audit","UK Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Office","London","30","30","54480","51900"
"In post","2022","Legal","Cabinet Office (excl. agencies)","London","60","55","79770","79760"
"In post","2022","Legal","Charity Commission","London","15","15","53530","51160"
"In post","2022","Legal","Charity Commission","Outside London","10","10","52130","51070"
"In post","2022","Legal","Companies House","Outside London","5","5","[c]","[c]"
"In post","2022","Legal","Competition and Markets Authority","London","155","150","67960","71370"
"In post","2022","Legal","Competition and Markets Authority","Outside London","10","10","70060","72430"
"In post","2022","Legal","Crown Office and Procurator Fiscal Service","Outside London","725","685","54240","53490"
"In post","2022","Legal","Crown Prosecution Service","London","1550","1460","44130","39750"
"In post","2022","Legal","Crown Prosecution Service","Outside London","4760","4405","40680","38000"
"In post","2022","Legal","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Defence Science and Technology Laboratory","Outside London","10","10","62090","74000"
"In post","2022","Legal","Department for Education (excl. agencies)","London","25","25","50420","50710"
"In post","2022","Legal","Department for Education (excl. agencies)","Outside London","50","45","54980","61010"
"In post","2022","Legal","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Department for Work and Pensions (excl. agencies)","Outside London","60","55","28970","27570"
"In post","2022","Legal","Driver and Vehicle Standards Agency","Outside London","10","10","[c]","[c]"
"In post","2022","Legal","FCDO Services","London","10","5","60630","61680"
"In post","2022","Legal","FCDO Services","Outside London","50","35","48370","53430"
"In post","2022","Legal","Food Standards Agency","London","15","15","55570","59800"
"In post","2022","Legal","Food Standards Agency","Outside London","10","10","44910","39430"
"In post","2022","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","London","70","70","62850","67480"
"In post","2022","Legal","Government Legal Department","London","2335","2170","55170","52040"
"In post","2022","Legal","Government Legal Department","Outside London","130","120","53650","52670"
"In post","2022","Legal","Health and Safety Executive","Outside London","20","20","51960","55700"
"In post","2022","Legal","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","HM Crown Prosecution Service Inspectorate","London","15","15","59760","58590"
"In post","2022","Legal","HM Crown Prosecution Service Inspectorate","Outside London","15","10","57560","57400"
"In post","2022","Legal","HM Land Registry","London","35","35","57830","64940"
"In post","2022","Legal","HM Land Registry","Outside London","235","215","47820","55090"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","London","475","455","53180","58600"
"In post","2022","Legal","HM Revenue and Customs (excl. agencies)","Outside London","890","830","37120","33370"
"In post","2022","Legal","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Intellectual Property Office","Outside London","50","45","47330","41760"
"In post","2022","Legal","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Maritime and Coastguard Agency","Outside London","5","5","[c]","[c]"
"In post","2022","Legal","Medicines and Healthcare Products Regulatory Agency","London","20","15","40320","38780"
"In post","2022","Legal","Met Office","Outside London","10","10","42060","45150"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","London","10","5","[c]","[c]"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","Outside London","30","30","50400","46950"
"In post","2022","Legal","Ministry of Defence (excl. agencies)","Overseas","10","10","[c]","[c]"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","National Crime Agency","London","50","50","55400","60960"
"In post","2022","Legal","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","London","15","15","60130","62810"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Office of Gas and Electricity Markets","London","60","55","65050","66310"
"In post","2022","Legal","Office of Gas and Electricity Markets","Outside London","25","25","58700","54150"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","Outside London","15","15","55150","50050"
"In post","2022","Legal","Office of Rail and Road","London","10","10","66620","69750"
