"Status","Year","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Declared non-disabled","SCS level","Heterosexual / straight","150","[c]","94270","88790"
"New entrant CS","2022","Declared non-disabled","SCS level","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","SCS level","Undeclared","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","Heterosexual / straight","6650","[c]","35420","33570"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","LGBO","655","[c]","34760","33210"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","Undeclared","425","[c]","35210","34020"
"New entrant CS","2022","Declared non-disabled","SEO/HEO","Unknown","345","[c]","31470","29270"
"New entrant CS","2022","Declared non-disabled","Unknown","Heterosexual / straight","3755","[c]","28910","25500"
"New entrant CS","2022","Declared non-disabled","Unknown","LGBO","270","[c]","28800","24800"
"New entrant CS","2022","Declared non-disabled","Unknown","Undeclared","150","[c]","30160","27060"
"New entrant CS","2022","Declared non-disabled","Unknown","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","AA/AO","Heterosexual / straight","350","[c]","21790","21260"
"New entrant CS","2022","Undeclared","AA/AO","LGBO","65","[c]","21480","21260"
"New entrant CS","2022","Undeclared","AA/AO","Undeclared","125","[c]","21840","21260"
"New entrant CS","2022","Undeclared","AA/AO","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","EO","Heterosexual / straight","270","[c]","27190","27570"
"New entrant CS","2022","Undeclared","EO","LGBO","55","[c]","26940","27570"
"New entrant CS","2022","Undeclared","EO","Undeclared","95","[c]","27470","27570"
"New entrant CS","2022","Undeclared","EO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Heterosexual / straight","65","[c]","54400","52630"
"New entrant CS","2022","Undeclared","G6/G7","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","G6/G7","Undeclared","50","[c]","55900","54270"
"New entrant CS","2022","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","SEO/HEO","Heterosexual / straight","255","[c]","35070","34020"
"New entrant CS","2022","Undeclared","SEO/HEO","LGBO","40","[c]","33890","33080"
"New entrant CS","2022","Undeclared","SEO/HEO","Undeclared","155","[c]","35560","34260"
"New entrant CS","2022","Undeclared","SEO/HEO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Heterosexual / straight","195","[c]","29960","27980"
"New entrant CS","2022","Undeclared","Unknown","LGBO","25","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Undeclared","70","[c]","33020","29900"
"New entrant CS","2022","Undeclared","Unknown","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","AA/AO","Heterosexual / straight","860","[c]","21890","21260"
"New entrant CS","2022","Unknown","AA/AO","LGBO","90","[c]","22370","21260"
"New entrant CS","2022","Unknown","AA/AO","Undeclared","60","[c]","21590","21260"
"New entrant CS","2022","Unknown","AA/AO","Unknown","7645","[c]","22130","21260"
"New entrant CS","2022","Unknown","EO","Heterosexual / straight","1090","[c]","27630","26880"
"New entrant CS","2022","Unknown","EO","LGBO","125","[c]","27320","27130"
"New entrant CS","2022","Unknown","EO","Undeclared","250","[c]","26870","27270"
"New entrant CS","2022","Unknown","EO","Unknown","4495","[c]","26980","26590"
"New entrant CS","2022","Unknown","G6/G7","Heterosexual / straight","360","[c]","56880","53480"
"New entrant CS","2022","Unknown","G6/G7","LGBO","25","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","G6/G7","Undeclared","125","[c]","55510","53360"
"New entrant CS","2022","Unknown","G6/G7","Unknown","1145","[c]","59530","57190"
"New entrant CS","2022","Unknown","SCS level","Heterosexual / straight","30","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","SCS level","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","SCS level","Unknown","125","[c]","101230","87210"
"New entrant CS","2022","Unknown","SEO/HEO","Heterosexual / straight","1115","[c]","35850","36500"
"New entrant CS","2022","Unknown","SEO/HEO","LGBO","125","[c]","35290","34600"
"New entrant CS","2022","Unknown","SEO/HEO","Undeclared","375","[c]","35350","33000"
"New entrant CS","2022","Unknown","SEO/HEO","Unknown","3750","[c]","34340","33080"
"New entrant CS","2022","Unknown","Unknown","Heterosexual / straight","165","[c]","27710","24800"
"New entrant CS","2022","Unknown","Unknown","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Unknown","Unknown","3375","[c]","27710","26310"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
