"Status","Year","Age","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Property","Ministry of Defence (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Property","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Ministry of Defence (excl. agencies)","Unknown","40","40","24480","21170"
"In post","2022","20-29","Property","Ministry of Justice (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Property","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Ministry of Justice (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Property","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Scottish Prison Service","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Property","Submarine Delivery Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","UK Health Security Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","UK Health Security Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","UK Health Security Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Valuation Office Agency","Heterosexual / straight","260","255","28700","26520"
"In post","2022","20-29","Property","Valuation Office Agency","LGBO","35","35","27360","22040"
"In post","2022","20-29","Property","Valuation Office Agency","Undeclared","20","20","[c]","[c]"
"In post","2022","20-29","Property","Valuation Office Agency","Unknown","275","270","28050","26030"
"In post","2022","20-29","Property","Vehicle Certification Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Vehicle Certification Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Wilton Park","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Property","Wilton Park","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Cabinet Office (excl. agencies)","Heterosexual / straight","95","95","28760","27500"
"In post","2022","20-29","Security","Cabinet Office (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2022","20-29","Security","Cabinet Office (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Security","Cabinet Office (excl. agencies)","Unknown","70","70","27430","26350"
"In post","2022","20-29","Security","Crown Prosecution Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Defence Equipment and Support","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Security","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Defence Science and Technology Laboratory","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for International Trade","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Security","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Transport (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Security","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Department for Work and Pensions (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Driver and Vehicle Licensing Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","FCDO Services","Heterosexual / straight","30","30","26220","26210"
"In post","2022","20-29","Security","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","30","30","36190","35700"
"In post","2022","20-29","Security","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Security","HM Prison and Probation Service","Heterosexual / straight","85","85","30740","29060"
"In post","2022","20-29","Security","HM Prison and Probation Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","HM Prison and Probation Service","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Security","HM Prison and Probation Service","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Security","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Security","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","HM Revenue and Customs (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Security","Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Ministry of Defence (excl. agencies)","Heterosexual / straight","600","600","27620","26670"
"In post","2022","20-29","Security","Ministry of Defence (excl. agencies)","LGBO","45","45","28340","27680"
"In post","2022","20-29","Security","Ministry of Defence (excl. agencies)","Undeclared","50","50","30780","29250"
"In post","2022","20-29","Security","Ministry of Defence (excl. agencies)","Unknown","305","305","26900","25680"
"In post","2022","20-29","Security","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","National Crime Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Security","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","National Crime Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Serious Fraud Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Serious Fraud Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Serious Fraud Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Submarine Delivery Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Submarine Delivery Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Hydrographic Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Hydrographic Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Space Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Space Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Statistics Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Security","UK Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","UK Statistics Authority","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Accountant in Bankruptcy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Accountant in Bankruptcy","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Prosecution Service","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","190","190","34340","31990"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","LGBO","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","45","45","32920","31990"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","30","30","38290","32790"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","Undeclared","40","40","40650","40650"
"In post","2022","20-29","Unknown","Disclosure Scotland","Heterosexual / straight","40","40","23910","21050"
"In post","2022","20-29","Unknown","Disclosure Scotland","LGBO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Disclosure Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Disclosure Scotland","Unknown","20","15","[c]","[c]"
"In post","2022","20-29","Unknown","Driver and Vehicle Licensing Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Education Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Education Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Education Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Scotland","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Scotland","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Forestry and Land Scotland","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","20-29","Unknown","Forestry and Land Scotland","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Forestry and Land Scotland","Undeclared","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Forestry and Land Scotland","Unknown","50","50","26690","25940"
"In post","2022","20-29","Unknown","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","HM Treasury (excl. agencies)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Home Office","Heterosexual / straight","3145","3080","29030","25040"
"In post","2022","20-29","Unknown","Home Office","LGBO","245","240","31210","25630"
"In post","2022","20-29","Unknown","Home Office","Undeclared","220","215","30640","25040"
"In post","2022","20-29","Unknown","Home Office","Unknown","1935","1920","29610","25630"
"In post","2022","20-29","Unknown","Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Met Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Ministry of Defence (excl. agencies)","Heterosexual / straight","800","790","29780","26600"
"In post","2022","20-29","Unknown","Ministry of Defence (excl. agencies)","LGBO","75","75","31420","26830"
"In post","2022","20-29","Unknown","Ministry of Defence (excl. agencies)","Undeclared","65","65","30620","27470"
"In post","2022","20-29","Unknown","Ministry of Defence (excl. agencies)","Unknown","230","225","31000","26930"
"In post","2022","20-29","Unknown","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","National Records of Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","National Records of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","National Records of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","National Records of Scotland","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Office of the Scottish Charity Regulator","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Office of the Scottish Charity Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Revenue Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Revenue Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Revenue Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Revenue Scotland","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Royal Fleet Auxiliary","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Royal Fleet Auxiliary","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Royal Fleet Auxiliary","Unknown","365","365","28260","28980"
"In post","2022","20-29","Unknown","Scottish Fiscal Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Fiscal Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Fiscal Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Fiscal Commission","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Forestry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Forestry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Forestry","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Government (excl. agencies)","Heterosexual / straight","920","915","31830","31540"
"In post","2022","20-29","Unknown","Scottish Government (excl. agencies)","LGBO","170","170","32170","31540"
"In post","2022","20-29","Unknown","Scottish Government (excl. agencies)","Undeclared","70","70","32350","31540"
"In post","2022","20-29","Unknown","Scottish Government (excl. agencies)","Unknown","430","420","30700","30040"
"In post","2022","20-29","Unknown","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Prison Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Public Pensions Agency","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Public Pensions Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Scottish Public Pensions Agency","Unknown","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Social Security Scotland","Heterosexual / straight","290","285","27030","27230"
"In post","2022","20-29","Unknown","Social Security Scotland","LGBO","65","65","25500","27230"
"In post","2022","20-29","Unknown","Social Security Scotland","Undeclared","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Social Security Scotland","Unknown","180","175","25180","24400"
"In post","2022","20-29","Unknown","Student Awards Agency for Scotland","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Student Awards Agency for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Student Awards Agency for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Student Awards Agency for Scotland","Unknown","35","35","24780","23230"
"In post","2022","20-29","Unknown","Transport Scotland","Heterosexual / straight","40","40","30430","31540"
"In post","2022","20-29","Unknown","Transport Scotland","LGBO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Transport Scotland","Undeclared","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Transport Scotland","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Veterinary Medicines Directorate","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Veterinary Medicines Directorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Veterinary Medicines Directorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Welsh Government (excl. agencies)","Heterosexual / straight","420","415","28550","25860"
"In post","2022","20-29","Unknown","Welsh Government (excl. agencies)","LGBO","45","45","29710","26820"
"In post","2022","20-29","Unknown","Welsh Government (excl. agencies)","Undeclared","40","35","27960","25860"
"In post","2022","20-29","Unknown","Welsh Government (excl. agencies)","Unknown","45","45","25960","24630"
"In post","2022","20-29","Unknown","Welsh Revenue Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Welsh Revenue Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","45","45","32700","30220"
"In post","2022","30-39","Analysis","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","10","10","[c]","[c]"
"In post","2022","30-39","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","75","70","33180","30220"
"In post","2022","30-39","Analysis","Companies House","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","30-39","Analysis","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Competition and Markets Authority","Heterosexual / straight","40","40","65600","59890"
"In post","2022","30-39","Analysis","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2022","30-39","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Defence Science and Technology Laboratory","Heterosexual / straight","30","30","42980","47010"
"In post","2022","30-39","Analysis","Defence Science and Technology Laboratory","LGBO","5","5","[c]","[c]"
"In post","2022","30-39","Analysis","Defence Science and Technology Laboratory","Undeclared","5","5","[c]","[c]"
"In post","2022","30-39","Analysis","Defence Science and Technology Laboratory","Unknown","100","100","41150","41940"
"In post","2022","30-39","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","40","40","52280","53320"
"In post","2022","30-39","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2022","30-39","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Department for Digital, Culture, Media and Sport","Heterosexual / straight","40","40","52590","55730"
"In post","2022","30-39","Analysis","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Department for Education (excl. agencies)","Heterosexual / straight","50","45","45080","42580"
"In post","2022","30-39","Analysis","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
