"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Unknown","Human Resources","SEO/HEO","Heterosexual / straight","205","200","36570","36740"
"In post","2022","Unknown","Human Resources","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","Human Resources","SEO/HEO","Undeclared","50","45","36250","36050"
"In post","2022","Unknown","Human Resources","SEO/HEO","Unknown","310","300","35720","35110"
"In post","2022","Unknown","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SEO/HEO","Heterosexual / straight","30","30","51200","51360"
"In post","2022","Unknown","Inspector of Education and Training","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Inspector of Education and Training","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","EO","Unknown","115","110","27090","26670"
"In post","2022","Unknown","Intelligence Analysis","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SEO/HEO","Heterosexual / straight","35","35","38190","37050"
"In post","2022","Unknown","Intelligence Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","SEO/HEO","Unknown","105","100","38450","37640"
"In post","2022","Unknown","Intelligence Analysis","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Internal Audit","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Unknown","International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","EO","Unknown","25","25","[c]","[c]"
"In post","2022","Unknown","International Trade","G6/G7","Heterosexual / straight","65","65","55800","51970"
"In post","2022","Unknown","International Trade","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Unknown","International Trade","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Unknown","International Trade","G6/G7","Unknown","155","150","54800","51970"
"In post","2022","Unknown","International Trade","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","SCS level","Unknown","25","20","[c]","[c]"
"In post","2022","Unknown","International Trade","SEO/HEO","Heterosexual / straight","75","75","36500","38160"
"In post","2022","Unknown","International Trade","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Unknown","International Trade","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","International Trade","SEO/HEO","Unknown","200","200","36110","37120"
"In post","2022","Unknown","Knowledge and Information Management","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","AA/AO","Unknown","30","30","21280","21170"
"In post","2022","Unknown","Knowledge and Information Management","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","EO","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","G6/G7","Unknown","35","35","56700","54540"
"In post","2022","Unknown","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","SEO/HEO","Unknown","75","70","36690","36000"
"In post","2022","Unknown","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","AA/AO","Unknown","55","45","22640","22080"
"In post","2022","Unknown","Legal","EO","Heterosexual / straight","85","85","28300","26970"
"In post","2022","Unknown","Legal","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Unknown","Legal","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","EO","Unknown","435","420","28290","26820"
"In post","2022","Unknown","Legal","G6/G7","Heterosexual / straight","415","400","54000","53050"
"In post","2022","Unknown","Legal","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Unknown","Legal","G6/G7","Undeclared","45","40","57420","55310"
"In post","2022","Unknown","Legal","G6/G7","Unknown","610","560","60710","59930"
"In post","2022","Unknown","Legal","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Unknown","Legal","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","SCS level","Unknown","40","40","90540","82660"
"In post","2022","Unknown","Legal","SEO/HEO","Heterosexual / straight","170","160","37860","38000"
"In post","2022","Unknown","Legal","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","Legal","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Unknown","Legal","SEO/HEO","Unknown","580","570","36830","36050"
"In post","2022","Unknown","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","AA/AO","Heterosexual / straight","30","30","21600","21580"
"In post","2022","Unknown","Medicine","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Unknown","Medicine","AA/AO","Unknown","80","75","20920","19300"
"In post","2022","Unknown","Medicine","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Unknown","Medicine","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","EO","Unknown","35","30","32090","31530"
"In post","2022","Unknown","Medicine","G6/G7","Heterosexual / straight","70","65","74400","76700"
"In post","2022","Unknown","Medicine","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","G6/G7","Undeclared","25","20","[c]","[c]"
"In post","2022","Unknown","Medicine","G6/G7","Unknown","120","100","71940","75870"
"In post","2022","Unknown","Medicine","SCS level","Heterosexual / straight","50","45","109680","108380"
"In post","2022","Unknown","Medicine","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","SCS level","Undeclared","40","35","106850","101430"
"In post","2022","Unknown","Medicine","SCS level","Unknown","65","55","118830","114000"
"In post","2022","Unknown","Medicine","SEO/HEO","Heterosexual / straight","85","75","39520","39030"
"In post","2022","Unknown","Medicine","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicine","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Unknown","Medicine","SEO/HEO","Unknown","95","80","39490","39030"
"In post","2022","Unknown","Operational Delivery","AA/AO","Heterosexual / straight","2505","2215","22570","22080"
"In post","2022","Unknown","Operational Delivery","AA/AO","LGBO","185","180","22950","22160"
"In post","2022","Unknown","Operational Delivery","AA/AO","Undeclared","235","210","22540","22080"
"In post","2022","Unknown","Operational Delivery","AA/AO","Unknown","15035","13900","22850","21690"
"In post","2022","Unknown","Operational Delivery","EO","Heterosexual / straight","3380","3235","30780","30640"
"In post","2022","Unknown","Operational Delivery","EO","LGBO","225","220","30240","28840"
"In post","2022","Unknown","Operational Delivery","EO","Undeclared","330","315","29990","28840"
"In post","2022","Unknown","Operational Delivery","EO","Unknown","8165","7735","28450","27470"
"In post","2022","Unknown","Operational Delivery","G6/G7","Heterosexual / straight","485","470","58880","55930"
"In post","2022","Unknown","Operational Delivery","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","G6/G7","Undeclared","225","210","57920","54700"
"In post","2022","Unknown","Operational Delivery","G6/G7","Unknown","815","800","58850","55270"
"In post","2022","Unknown","Operational Delivery","SCS level","Heterosexual / straight","50","50","107060","97310"
"In post","2022","Unknown","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","SCS level","Unknown","130","125","93420","83460"
"In post","2022","Unknown","Operational Delivery","SEO/HEO","Heterosexual / straight","2005","1925","39550","40170"
"In post","2022","Unknown","Operational Delivery","SEO/HEO","LGBO","120","120","37180","36920"
"In post","2022","Unknown","Operational Delivery","SEO/HEO","Undeclared","370","350","37830","38070"
"In post","2022","Unknown","Operational Delivery","SEO/HEO","Unknown","3205","3090","36350","34260"
"In post","2022","Unknown","Operational Delivery","Unknown","Heterosexual / straight","215","195","27360","24800"
"In post","2022","Unknown","Operational Delivery","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2022","Unknown","Operational Delivery","Unknown","Unknown","3205","2880","27730","26310"
"In post","2022","Unknown","Operational Research","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Operational Research","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Unknown","Operational Research","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2022","Unknown","Operational Research","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Unknown","Operational Research","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","SEO/HEO","Unknown","40","40","38140","36590"
"In post","2022","Unknown","Operational Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Operational Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","AA/AO","Heterosexual / straight","515","480","21670","21170"
"In post","2022","Unknown","Other","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","Other","AA/AO","Undeclared","75","70","21400","21380"
"In post","2022","Unknown","Other","AA/AO","Unknown","765","725","22340","21380"
"In post","2022","Unknown","Other","EO","Heterosexual / straight","370","360","27550","26930"
"In post","2022","Unknown","Other","EO","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","Other","EO","Undeclared","55","55","26290","26670"
"In post","2022","Unknown","Other","EO","Unknown","520","505","27610","27570"
"In post","2022","Unknown","Other","G6/G7","Heterosexual / straight","120","120","57500","54170"
"In post","2022","Unknown","Other","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2022","Unknown","Other","G6/G7","Undeclared","45","45","63920","58770"
"In post","2022","Unknown","Other","G6/G7","Unknown","225","215","59600","57430"
"In post","2022","Unknown","Other","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Unknown","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Unknown","Other","SCS level","Unknown","35","35","92960","87250"
"In post","2022","Unknown","Other","SEO/HEO","Heterosexual / straight","325","310","37660","38160"
"In post","2022","Unknown","Other","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Unknown","Other","SEO/HEO","Undeclared","65","65","36670","33910"
"In post","2022","Unknown","Other","SEO/HEO","Unknown","585","560","39450","40120"
"In post","2022","Unknown","Other","Unknown","Heterosexual / straight","130","125","[c]","[c]"
"In post","2022","Unknown","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other","Unknown","Undeclared","30","30","[c]","[c]"
"In post","2022","Unknown","Other","Unknown","Unknown","1780","1775","37390","34160"
"In post","2022","Unknown","Planning","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Planning","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","G6/G7","Unknown","40","35","56510","58810"
"In post","2022","Unknown","Planning Inspectors","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","AA/AO","Heterosexual / straight","35","30","22460","21840"
"In post","2022","Unknown","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Unknown","Policy","AA/AO","Unknown","60","55","22960","23000"
"In post","2022","Unknown","Policy","EO","Heterosexual / straight","200","200","26760","25000"
"In post","2022","Unknown","Policy","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Unknown","Policy","EO","Undeclared","50","50","26920","27270"
"In post","2022","Unknown","Policy","EO","Unknown","295","290","27890","27850"
"In post","2022","Unknown","Policy","G6/G7","Heterosexual / straight","590","575","57530","54760"
"In post","2022","Unknown","Policy","G6/G7","LGBO","70","65","57000","53440"
"In post","2022","Unknown","Policy","G6/G7","Undeclared","195","190","57570","53380"
"In post","2022","Unknown","Policy","G6/G7","Unknown","1320","1295","57710","56110"
"In post","2022","Unknown","Policy","SCS level","Heterosexual / straight","75","75","88710","78260"
"In post","2022","Unknown","Policy","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Unknown","Policy","SCS level","Undeclared","20","20","[c]","[c]"
"In post","2022","Unknown","Policy","SCS level","Unknown","130","125","88630","78170"
"In post","2022","Unknown","Policy","SEO/HEO","Heterosexual / straight","770","755","36210","36500"
"In post","2022","Unknown","Policy","SEO/HEO","LGBO","85","85","35470","34330"
"In post","2022","Unknown","Policy","SEO/HEO","Undeclared","220","220","36060","33570"
"In post","2022","Unknown","Policy","SEO/HEO","Unknown","1560","1530","37140","36630"
"In post","2022","Unknown","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Policy","Unknown","Unknown","35","30","[c]","[c]"
"In post","2022","Unknown","Project Delivery","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Unknown","Project Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2022","Unknown","Project Delivery","EO","Heterosexual / straight","60","60","26930","27130"
"In post","2022","Unknown","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Unknown","Project Delivery","EO","Unknown","135","130","27230","26820"
"In post","2022","Unknown","Project Delivery","G6/G7","Heterosexual / straight","205","200","57190","55210"
"In post","2022","Unknown","Project Delivery","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2022","Unknown","Project Delivery","G6/G7","Undeclared","30","30","57720","55700"
"In post","2022","Unknown","Project Delivery","G6/G7","Unknown","415","410","58300","55210"
"In post","2022","Unknown","Project Delivery","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SCS level","Unknown","25","20","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SEO/HEO","Heterosexual / straight","325","315","37440","37450"
"In post","2022","Unknown","Project Delivery","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Unknown","Project Delivery","SEO/HEO","Undeclared","55","55","38800","40000"
"In post","2022","Unknown","Project Delivery","SEO/HEO","Unknown","735","715","37600","38520"
"In post","2022","Unknown","Project Delivery","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Unknown","Project Delivery","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Unknown","Property","AA/AO","Heterosexual / straight","70","70","18840","18610"
"In post","2022","Unknown","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Unknown","Property","AA/AO","Unknown","160","145","19460","19010"
"In post","2022","Unknown","Property","EO","Heterosexual / straight","45","45","25930","25000"
"In post","2022","Unknown","Property","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","EO","Unknown","255","245","26870","26350"
"In post","2022","Unknown","Property","G6/G7","Heterosexual / straight","85","85","55390","53420"
"In post","2022","Unknown","Property","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","G6/G7","Unknown","105","100","57850","55210"
"In post","2022","Unknown","Property","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Unknown","Property","SEO/HEO","Heterosexual / straight","115","115","36290","35950"
"In post","2022","Unknown","Property","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Unknown","Property","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Unknown","Property","SEO/HEO","Unknown","335","330","37450","36250"
"In post","2022","Unknown","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2022","Unknown","Psychology","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Unknown","Psychology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","EO","Unknown","50","50","29720","27740"
"In post","2022","Unknown","Psychology","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Unknown","Psychology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Psychology","SEO/HEO","Unknown","60","55","34260","30460"
"In post","2022","Unknown","Psychology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
