"Status","Year","Ethnicity","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Operational Delivery","AA/AO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Policy","G6/G7","10","10","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Policy","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Environment, Food and Rural Affairs","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","International Trade","G6/G7","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","International Trade","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for International Trade","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Policy","G6/G7","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Policy","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Levelling Up, Housing and Communities","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Other ethnicity","Department for Transport","International Trade","EO","[c]","[c]","[c]","[c]"
