"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","HM Land Registry","Communications","London","20","20","41640","37290"
"In post","2022","Communications","HM Land Registry","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs","Communications","London","105","105","51360","44090"
"In post","2022","Communications","HM Revenue and Customs","Communications","Outside London","135","130","42210","40520"
"In post","2022","Communications","HM Revenue and Customs","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs","Operational Delivery","Outside London","1705","1640","29540","26820"
"In post","2022","Communications","HM Revenue and Customs","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs","Tax","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Revenue and Customs","Tax","Outside London","2495","2415","28980","26820"
"In post","2022","Communications","HM Revenue and Customs","Unknown","London","30","30","60130","62120"
"In post","2022","Communications","HM Revenue and Customs","Unknown","Outside London","165","165","33160","33080"
"In post","2022","Communications","HM Treasury","Communications","London","40","35","49480","44140"
"In post","2022","Communications","HM Treasury","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","HM Treasury","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Communications","London","100","100","50040","47500"
"In post","2022","Communications","Ministry of Defence","Communications","Outside London","480","460","33150","33000"
"In post","2022","Communications","Ministry of Defence","Communications","Overseas","10","10","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Ministry of Defence","Other","Outside London","15","15","31710","27220"
"In post","2022","Communications","Ministry of Justice","Communications","London","105","105","46850","42380"
"In post","2022","Communications","Ministry of Justice","Communications","Outside London","40","40","40770","41100"
"In post","2022","Communications","Ministry of Justice","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Justice","Human Resources","London","10","10","47520","38370"
"In post","2022","Communications","Ministry of Justice","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Ministry of Justice","Operational Delivery","London","15","15","40000","41750"
"In post","2022","Communications","Ministry of Justice","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","National Crime Agency","Communications","London","15","15","46250","47370"
"In post","2022","Communications","National Crime Agency","Communications","Outside London","10","10","41520","41110"
"In post","2022","Communications","Northern Ireland Office","Communications","London","10","10","[c]","[c]"
"In post","2022","Communications","Northern Ireland Office","Communications","Outside London","10","10","44100","36720"
"In post","2022","Communications","Northern Ireland Office","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Communications","London","20","15","47640","42850"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","Communications","Outside London","20","15","38930","39460"
"In post","2022","Communications","Office of Gas and Electricity Markets","Communications","London","30","30","49620","45000"
"In post","2022","Communications","Office of Gas and Electricity Markets","Communications","Outside London","15","15","35510","33230"
"In post","2022","Communications","Office of Gas and Electricity Markets","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Gas and Electricity Markets","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","Communications","Outside London","10","10","44270","39910"
"In post","2022","Communications","Office of Rail and Road","Communications","London","15","15","47110","38180"
"In post","2022","Communications","Office of Rail and Road","Communications","Outside London","5","5","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Scotland","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Government","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scottish Government","Communications","Outside London","40","40","39130","37710"
"In post","2022","Communications","The National Archives","Communications","London","20","15","33960","29780"
"In post","2022","Communications","UK Export Finance","Communications","London","25","25","45660","41000"
"In post","2022","Communications","UK Export Finance","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Export Finance","Operational Delivery","London","20","20","72030","55990"
"In post","2022","Communications","UK Export Finance","Policy","London","15","15","57210","52900"
"In post","2022","Communications","UK Statistics Authority","Communications","London","10","10","[c]","[c]"
"In post","2022","Communications","UK Statistics Authority","Communications","Outside London","55","55","37100","36840"
"In post","2022","Communications","UK Supreme Court","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","Communications","London","5","5","[c]","[c]"
"In post","2022","Communications","UK Supreme Court","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Communications","London","5","5","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","Communications","Outside London","10","10","[c]","[c]"
"In post","2022","Communications","Welsh Government","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Attorney General's Departments","Counter Fraud","London","240","235","46740","40270"
"In post","2022","Counter Fraud","Cabinet Office","Unknown","London","105","105","48040","49700"
"In post","2022","Counter Fraud","Cabinet Office","Unknown","Outside London","15","15","37770","32000"
"In post","2022","Counter Fraud","Cabinet Office","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Chancellor's other departments","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Counter Fraud","London","40","40","43000","43150"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Counter Fraud","Outside London","375","350","32450","33720"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Counter Fraud","London","20","15","47390","45870"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Transport","Counter Fraud","London","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Department for Transport","Counter Fraud","Outside London","45","45","30870","30730"
"In post","2022","Counter Fraud","Department for Work and Pensions","Counter Fraud","London","900","810","29940","31060"
"In post","2022","Counter Fraud","Department for Work and Pensions","Counter Fraud","Outside London","4660","4150","27550","27570"
"In post","2022","Counter Fraud","Department for Work and Pensions","Counter Fraud","Unknown","10","5","[c]","[c]"
"In post","2022","Counter Fraud","Department for Work and Pensions","Operational Delivery","London","120","100","26790","25110"
"In post","2022","Counter Fraud","Department for Work and Pensions","Operational Delivery","Outside London","695","620","24790","21260"
"In post","2022","Counter Fraud","Food Standards Agency","Counter Fraud","London","10","10","38660","34510"
"In post","2022","Counter Fraud","Food Standards Agency","Counter Fraud","Outside London","45","45","38160","37350"
"In post","2022","Counter Fraud","HM Revenue and Customs","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","HM Revenue and Customs","Intelligence Analysis","London","90","90","43450","37930"
"In post","2022","Counter Fraud","HM Revenue and Customs","Intelligence Analysis","Outside London","165","155","36040","33370"
"In post","2022","Counter Fraud","HM Revenue and Customs","Knowledge and Information Management","London","10","10","42090","40910"
"In post","2022","Counter Fraud","HM Revenue and Customs","Knowledge and Information Management","Outside London","25","25","40060","35980"
"In post","2022","Counter Fraud","HM Revenue and Customs","Legal","London","965","935","38540","37900"
"In post","2022","Counter Fraud","HM Revenue and Customs","Legal","Outside London","2440","2315","31850","33080"
"In post","2022","Counter Fraud","HM Revenue and Customs","Operational Delivery","London","445","415","37430","33440"
"In post","2022","Counter Fraud","HM Revenue and Customs","Operational Delivery","Outside London","2640","2440","31280","28920"
"In post","2022","Counter Fraud","HM Revenue and Customs","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","HM Revenue and Customs","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2022","Counter Fraud","HM Revenue and Customs","Other","London","75","70","42110","37930"
"In post","2022","Counter Fraud","HM Revenue and Customs","Other","Outside London","250","225","41800","40180"
"In post","2022","Counter Fraud","HM Revenue and Customs","Tax","London","360","340","46350","40910"
"In post","2022","Counter Fraud","HM Revenue and Customs","Tax","Outside London","1555","1455","40860","35980"
"In post","2022","Counter Fraud","HM Revenue and Customs","Unknown","London","200","200","35580","31060"
"In post","2022","Counter Fraud","HM Revenue and Customs","Unknown","Outside London","460","455","29250","26590"
"In post","2022","Counter Fraud","HM Treasury","Counter Fraud","London","10","10","[c]","[c]"
"In post","2022","Counter Fraud","HM Treasury","Counter Fraud","Outside London","25","25","38520","34350"
"In post","2022","Counter Fraud","Ministry of Justice","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Ministry of Justice","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Department for Work and Pensions","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Debt","Department for Work and Pensions","Other","London","10","10","[c]","[c]"
"In post","2022","Debt","Department for Work and Pensions","Other","Outside London","2425","2070","22510","21260"
"In post","2022","Debt","Department for Work and Pensions","Other","Unknown","70","55","25610","25110"
"In post","2022","Debt","HM Revenue and Customs","Operational Delivery","London","430","380","28920","26400"
"In post","2022","Debt","HM Revenue and Customs","Operational Delivery","Outside London","2895","2585","24230","21450"
"In post","2022","Debt","HM Revenue and Customs","Tax","London","35","35","27470","25330"
"In post","2022","Debt","HM Revenue and Customs","Tax","Outside London","820","785","21980","21250"
"In post","2022","Debt","HM Revenue and Customs","Unknown","London","10","10","40250","35170"
"In post","2022","Debt","HM Revenue and Customs","Unknown","Outside London","105","100","24890","21250"
"In post","2022","Debt","HM Treasury","Operational Delivery","London","15","15","59190","49590"
"In post","2022","Debt","UK Export Finance","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Digital, Data and Technology","London","85","85","44010","40170"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Digital, Data and Technology","Outside London","80","80","37370","32080"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Project Delivery","London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","Project Delivery","Outside London","20","20","39070","35120"
"In post","2022","Digital, Data & Technology","Cabinet Office","Digital, Data and Technology","London","30","30","57270","56440"
"In post","2022","Digital, Data & Technology","Cabinet Office","Digital, Data and Technology","Outside London","95","95","41290","38980"
"In post","2022","Digital, Data & Technology","Cabinet Office","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Cabinet Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Cabinet Office","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Cabinet Office","Unknown","London","910","895","52170","54700"
"In post","2022","Digital, Data & Technology","Cabinet Office","Unknown","Outside London","195","195","44240","49700"
"In post","2022","Digital, Data & Technology","Cabinet Office","Unknown","Unknown","35","35","40270","37300"
"In post","2022","Digital, Data & Technology","Chancellor's other departments","Digital, Data and Technology","London","10","10","52750","47500"
"In post","2022","Digital, Data & Technology","Chancellor's other departments","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Charity Commission","Digital, Data and Technology","Outside London","50","50","34430","29160"
"In post","2022","Digital, Data & Technology","Competition and Markets Authority","Digital, Data and Technology","London","70","70","57770","58030"
"In post","2022","Digital, Data & Technology","Competition and Markets Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","London","135","135","46450","44450"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Outside London","920","900","40200","38000"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","London","15","15","43050","40220"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Outside London","15","15","41440","38120"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","20","20","53320","47680"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Project Delivery","London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Science and Engineering","London","20","20","33250","33050"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Science and Engineering","Outside London","910","855","39010","39650"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Science and Engineering","Overseas","25","25","34420","37420"
"In post","2022","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","London","10","10","60860","58600"
"In post","2022","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Digital, Data and Technology","London","140","135","46550","45250"
"In post","2022","Digital, Data & Technology","Department for Education","Digital, Data and Technology","Outside London","560","545","39720","36500"
"In post","2022","Digital, Data & Technology","Department for Education","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Operational Delivery","Outside London","15","15","39870","36500"
"In post","2022","Digital, Data & Technology","Department for Education","Policy","London","105","105","50010","53420"
"In post","2022","Digital, Data & Technology","Department for Education","Policy","Outside London","145","135","39820","36780"
"In post","2022","Digital, Data & Technology","Department for Education","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Education","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","London","100","95","47430","41990"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Outside London","765","750","42280","46730"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","London","15","15","47600","43000"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","Outside London","45","45","34630","29260"
"In post","2022","Digital, Data & Technology","Department for International Trade","Digital, Data and Technology","London","150","150","48110","47000"
"In post","2022","Digital, Data & Technology","Department for International Trade","Digital, Data and Technology","Outside London","15","15","43140","47980"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","London","70","70","52200","53130"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Digital, Data and Technology","Outside London","75","70","42250","40720"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","London","20","20","42270","39600"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","Knowledge and Information Management","Outside London","15","10","29880","27980"
"In post","2022","Digital, Data & Technology","Department for Transport","Digital, Data and Technology","London","65","60","46570","42470"
"In post","2022","Digital, Data & Technology","Department for Transport","Digital, Data and Technology","Outside London","1150","1135","39350","37730"
"In post","2022","Digital, Data & Technology","Department for Transport","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Transport","Knowledge and Information Management","Outside London","25","25","32800","30730"
"In post","2022","Digital, Data & Technology","Department for Transport","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Transport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Transport","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Transport","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Transport","Unknown","London","15","15","39440","37660"
"In post","2022","Digital, Data & Technology","Department for Transport","Unknown","Outside London","10","10","34080","32040"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Digital, Data and Technology","London","235","230","47750","42150"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Digital, Data and Technology","Outside London","3750","3600","41920","36870"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Digital, Data and Technology","Unknown","15","15","48760","52000"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Other","Outside London","20","20","41950","35310"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Project Delivery","Outside London","80","75","34050","33160"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Security","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Commercial","London","10","10","38530","33040"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Communications","London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","London","280","275","45670","40850"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","Outside London","110","105","40580","36820"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Human Resources","London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Medicine","London","15","15","31070","27400"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Operational Delivery","London","10","10","47440","53360"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Food Standards Agency","Digital, Data and Technology","Outside London","50","50","45810","41520"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","London","35","30","44020","41740"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Digital, Data and Technology","Outside London","275","275","43040","39630"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Operational Delivery","Outside London","30","25","34520","33930"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","London","40","40","41300","37290"
"In post","2022","Digital, Data & Technology","HM Land Registry","Digital, Data and Technology","Outside London","665","630","37650","38450"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","London","220","215","48550","43810"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Digital, Data and Technology","Outside London","1940","1875","41120","40180"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Delivery","London","20","20","42750","37930"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Delivery","Outside London","370","355","36020","33370"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Operational Research","Outside London","20","20","48930","47870"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Tax","London","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Tax","Outside London","70","70","39340","34830"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Unknown","London","55","55","62840","58600"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","Unknown","Outside London","305","300","44910","40520"
"In post","2022","Digital, Data & Technology","HM Treasury","Communications","London","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Digital, Data and Technology","London","50","50","53420","54180"
"In post","2022","Digital, Data & Technology","HM Treasury","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","HM Treasury","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Commercial","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","London","125","125","41730","37250"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","Outside London","2235","2185","34790","33300"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","Overseas","40","40","31500","33170"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","London","105","105","35860","31020"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","Outside London","615","600","30890","28050"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Other","Outside London","20","20","34410","29850"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Project Delivery","Outside London","35","35","43790","41630"
"In post","2022","Digital, Data & Technology","Ministry of Defence","Science and Engineering","Outside London","15","15","51840","50660"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","London","595","585","51830","54270"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","Outside London","580","570","41690","36050"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Operational Delivery","London","40","35","45140","41750"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Operational Delivery","Outside London","25","25","35420","36050"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Project Delivery","London","20","20","45280","41750"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Ministry of Justice","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","London","95","95","49290","48900"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","Outside London","175","165","39180","36740"
"In post","2022","Digital, Data & Technology","National Crime Agency","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","London","20","20","51320","42850"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data and Technology","Outside London","55","55","44480","39660"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Digital, Data and Technology","London","40","40","55160","50540"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Digital, Data and Technology","Outside London","30","30","52350","49550"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","Other","Outside London","[c]","[c]","[c]","[c]"
