"Status","Year","Age","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","50-59","UK Debt Management Office","Male","30","30","[c]","[c]"
"In post","2022","50-59","UK Export Finance","Female","40","40","47920","42660"
"In post","2022","50-59","UK Export Finance","Male","70","70","66830","55460"
"In post","2022","50-59","UK Health Security Agency","Female","880","805","47570","40560"
"In post","2022","50-59","UK Health Security Agency","Male","475","465","56310","50420"
"In post","2022","50-59","UK Hydrographic Office","Female","85","75","36270","33290"
"In post","2022","50-59","UK Hydrographic Office","Male","140","140","39370","35340"
"In post","2022","50-59","UK Space Agency","Female","20","20","[c]","[c]"
"In post","2022","50-59","UK Space Agency","Male","25","25","[c]","[c]"
"In post","2022","50-59","UK Statistics Authority","Female","750","635","31570","24870"
"In post","2022","50-59","UK Statistics Authority","Male","520","455","36660","31860"
"In post","2022","50-59","UK Supreme Court","Female","5","5","[c]","[c]"
"In post","2022","50-59","UK Supreme Court","Male","10","10","[c]","[c]"
"In post","2022","50-59","Valuation Office Agency","Female","670","615","35000","31000"
"In post","2022","50-59","Valuation Office Agency","Male","575","560","41480","39500"
"In post","2022","50-59","Vehicle Certification Agency","Female","15","15","[c]","[c]"
"In post","2022","50-59","Vehicle Certification Agency","Male","20","20","[c]","[c]"
"In post","2022","50-59","Veterinary Medicines Directorate","Female","25","25","[c]","[c]"
"In post","2022","50-59","Veterinary Medicines Directorate","Male","25","25","[c]","[c]"
"In post","2022","50-59","Water Services Regulation Authority","Female","25","25","[c]","[c]"
"In post","2022","50-59","Water Services Regulation Authority","Male","30","30","[c]","[c]"
"In post","2022","50-59","Welsh Government (excl. agencies)","Female","1000","950","44060","38160"
"In post","2022","50-59","Welsh Government (excl. agencies)","Male","715","705","47950","47470"
"In post","2022","50-59","Welsh Revenue Authority","Female","5","5","[c]","[c]"
"In post","2022","50-59","Welsh Revenue Authority","Male","5","5","[c]","[c]"
"In post","2022","50-59","Wilton Park","Female","20","20","[c]","[c]"
"In post","2022","50-59","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Accountant in Bankruptcy","Male","5","5","[c]","[c]"
"In post","2022","60-64","Advisory, Conciliation and Arbitration Service","Female","55","45","35810","34500"
"In post","2022","60-64","Advisory, Conciliation and Arbitration Service","Male","35","30","37660","34500"
"In post","2022","60-64","Animal and Plant Health Agency","Female","115","105","28680","26020"
"In post","2022","60-64","Animal and Plant Health Agency","Male","105","90","36530","30630"
"In post","2022","60-64","Cabinet Office (excl. agencies)","Female","140","120","43580","37300"
"In post","2022","60-64","Cabinet Office (excl. agencies)","Male","165","155","55700","42550"
"In post","2022","60-64","Centre for Environment, Fisheries and Aquaculture Science","Female","15","15","[c]","[c]"
"In post","2022","60-64","Centre for Environment, Fisheries and Aquaculture Science","Male","30","25","[c]","[c]"
"In post","2022","60-64","Charity Commission","Female","20","20","[c]","[c]"
"In post","2022","60-64","Charity Commission","Male","10","10","[c]","[c]"
"In post","2022","60-64","Companies House","Female","75","55","25490","22740"
"In post","2022","60-64","Companies House","Male","40","35","31060","24500"
"In post","2022","60-64","Competition and Markets Authority","Female","5","5","[c]","[c]"
"In post","2022","60-64","Competition and Markets Authority","Male","15","15","[c]","[c]"
"In post","2022","60-64","Criminal Injuries Compensation Authority","Female","10","10","[c]","[c]"
"In post","2022","60-64","Criminal Injuries Compensation Authority","Male","15","15","[c]","[c]"
"In post","2022","60-64","Crown Commercial Service","Female","10","10","[c]","[c]"
"In post","2022","60-64","Crown Commercial Service","Male","15","10","[c]","[c]"
"In post","2022","60-64","Crown Office and Procurator Fiscal Service","Female","95","80","35440","27230"
"In post","2022","60-64","Crown Office and Procurator Fiscal Service","Male","35","35","39850","34600"
"In post","2022","60-64","Crown Prosecution Service","Female","280","230","40350","30130"
"In post","2022","60-64","Crown Prosecution Service","Male","180","160","50730","55610"
"In post","2022","60-64","Defence Electronics and Components Agency","Female","10","5","[c]","[c]"
"In post","2022","60-64","Defence Electronics and Components Agency","Male","60","50","28040","29470"
"In post","2022","60-64","Defence Equipment and Support","Female","205","180","33700","32160"
"In post","2022","60-64","Defence Equipment and Support","Male","715","655","39460","39090"
"In post","2022","60-64","Defence Science and Technology Laboratory","Female","60","55","35300","30890"
"In post","2022","60-64","Defence Science and Technology Laboratory","Male","210","180","48350","47060"
"In post","2022","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","75","70","43940","40050"
"In post","2022","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","85","80","52380","45210"
"In post","2022","60-64","Department for Digital, Culture, Media and Sport","Female","15","15","[c]","[c]"
"In post","2022","60-64","Department for Digital, Culture, Media and Sport","Male","20","20","[c]","[c]"
"In post","2022","60-64","Department for Education (excl. agencies)","Female","100","90","43190","37280"
"In post","2022","60-64","Department for Education (excl. agencies)","Male","105","100","49160","50130"
"In post","2022","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","120","110","38460","32250"
"In post","2022","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","125","115","46820","47650"
"In post","2022","60-64","Department for International Trade","Female","40","40","43560","38350"
"In post","2022","60-64","Department for International Trade","Male","50","45","49390","43470"
"In post","2022","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","55","50","49690","47160"
"In post","2022","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","60","55","45880","38310"
"In post","2022","60-64","Department for Transport (excl. agencies)","Female","50","45","37540","30720"
"In post","2022","60-64","Department for Transport (excl. agencies)","Male","100","90","52530","43360"
"In post","2022","60-64","Department for Work and Pensions (excl. agencies)","Female","7050","5315","26680","27570"
"In post","2022","60-64","Department for Work and Pensions (excl. agencies)","Male","3020","2535","28200","27570"
"In post","2022","60-64","Department of Health and Social Care (excl. agencies)","Female","75","65","48940","41370"
"In post","2022","60-64","Department of Health and Social Care (excl. agencies)","Male","50","45","58610","53360"
"In post","2022","60-64","Disclosure Scotland","Female","10","10","[c]","[c]"
"In post","2022","60-64","Disclosure Scotland","Male","10","10","[c]","[c]"
"In post","2022","60-64","Driver and Vehicle Licensing Agency","Female","415","285","23220","21840"
"In post","2022","60-64","Driver and Vehicle Licensing Agency","Male","160","135","32360","21840"
"In post","2022","60-64","Driver and Vehicle Standards Agency","Female","145","120","27570","26780"
"In post","2022","60-64","Driver and Vehicle Standards Agency","Male","520","460","29390","26830"
"In post","2022","60-64","Education and Skills Funding Agency","Female","50","45","41970","37100"
"In post","2022","60-64","Education and Skills Funding Agency","Male","35","35","47030","50630"
"In post","2022","60-64","Education Scotland","Female","15","15","[c]","[c]"
"In post","2022","60-64","Education Scotland","Male","15","15","[c]","[c]"
"In post","2022","60-64","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Estyn","Male","10","5","[c]","[c]"
"In post","2022","60-64","FCDO Services","Female","20","15","[c]","[c]"
"In post","2022","60-64","FCDO Services","Male","85","75","42490","42320"
"In post","2022","60-64","Food Standards Agency","Female","15","15","[c]","[c]"
"In post","2022","60-64","Food Standards Agency","Male","95","85","32220","28800"
"In post","2022","60-64","Food Standards Scotland","Female","5","5","[c]","[c]"
"In post","2022","60-64","Food Standards Scotland","Male","20","20","[c]","[c]"
"In post","2022","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","Female","135","130","48690","38550"
"In post","2022","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","Male","155","150","55380","54370"
"In post","2022","60-64","Forestry and Land Scotland","Female","20","20","[c]","[c]"
"In post","2022","60-64","Forestry and Land Scotland","Male","85","80","32790","31060"
"In post","2022","60-64","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Government Actuary's Department","Male","5","5","[c]","[c]"
"In post","2022","60-64","Government Internal Audit Agency","Female","20","20","[c]","[c]"
"In post","2022","60-64","Government Internal Audit Agency","Male","30","25","47440","45350"
"In post","2022","60-64","Government Legal Department","Female","55","45","57580","61000"
"In post","2022","60-64","Government Legal Department","Male","45","40","67950","68760"
"In post","2022","60-64","Government Property Agency","Female","5","5","[c]","[c]"
"In post","2022","60-64","Government Property Agency","Male","10","10","[c]","[c]"
"In post","2022","60-64","Health and Safety Executive","Female","105","85","36600","29750"
"In post","2022","60-64","Health and Safety Executive","Male","120","110","52440","48840"
"In post","2022","60-64","HM Courts and Tribunals Service","Female","1150","950","24330","20970"
"In post","2022","60-64","HM Courts and Tribunals Service","Male","480","435","26080","21490"
"In post","2022","60-64","HM Land Registry","Female","310","220","30540","27130"
"In post","2022","60-64","HM Land Registry","Male","240","180","34110","33840"
"In post","2022","60-64","HM Prison and Probation Service","Female","2175","1810","28750","26760"
"In post","2022","60-64","HM Prison and Probation Service","Male","2500","1960","31490","31650"
"In post","2022","60-64","HM Revenue and Customs (excl. agencies)","Female","3230","2410","29460","26820"
"In post","2022","60-64","HM Revenue and Customs (excl. agencies)","Male","2130","1735","35120","33080"
"In post","2022","60-64","HM Treasury (excl. agencies)","Female","20","15","[c]","[c]"
"In post","2022","60-64","HM Treasury (excl. agencies)","Male","15","15","[c]","[c]"
"In post","2022","60-64","Home Office","Female","1230","1000","29260","25630"
"In post","2022","60-64","Home Office","Male","1175","970","32650","28650"
"In post","2022","60-64","Institute for Apprenticeships and Technical Education","Female","5","5","[c]","[c]"
"In post","2022","60-64","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Intellectual Property Office","Female","30","25","29600","24030"
"In post","2022","60-64","Intellectual Property Office","Male","45","35","42610","41000"
"In post","2022","60-64","Legal Aid Agency","Female","60","55","28800","24310"
"In post","2022","60-64","Legal Aid Agency","Male","40","40","39180","33000"
"In post","2022","60-64","Maritime and Coastguard Agency","Female","20","15","[c]","[c]"
"In post","2022","60-64","Maritime and Coastguard Agency","Male","60","60","47600","44290"
"In post","2022","60-64","Medicines and Healthcare Products Regulatory Agency","Female","35","35","54440","53770"
"In post","2022","60-64","Medicines and Healthcare Products Regulatory Agency","Male","40","35","61840","53830"
"In post","2022","60-64","Met Office","Female","25","20","[c]","[c]"
"In post","2022","60-64","Met Office","Male","70","60","41700","39750"
"In post","2022","60-64","Ministry of Defence (excl. agencies)","Female","1465","1335","27980","22330"
"In post","2022","60-64","Ministry of Defence (excl. agencies)","Male","2965","2810","31640","26930"
"In post","2022","60-64","Ministry of Justice (excl. agencies)","Female","160","150","39050","34260"
"In post","2022","60-64","Ministry of Justice (excl. agencies)","Male","170","155","42470","41100"
"In post","2022","60-64","National Crime Agency","Female","80","70","37460","36630"
"In post","2022","60-64","National Crime Agency","Male","245","230","43620","42710"
"In post","2022","60-64","National Records of Scotland","Female","20","20","[c]","[c]"
"In post","2022","60-64","National Records of Scotland","Male","20","20","[c]","[c]"
"In post","2022","60-64","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","National Savings and Investments","Male","10","10","[c]","[c]"
"In post","2022","60-64","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office for Standards in Education, Children's Services and Skills","Female","100","90","52810","51360"
"In post","2022","60-64","Office for Standards in Education, Children's Services and Skills","Male","35","35","69250","75500"
"In post","2022","60-64","Office of Gas and Electricity Markets","Female","10","10","[c]","[c]"
"In post","2022","60-64","Office of Gas and Electricity Markets","Male","20","20","[c]","[c]"
"In post","2022","60-64","Office of Qualifications and Examinations Regulation","Female","10","10","[c]","[c]"
"In post","2022","60-64","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of Rail and Road","Female","10","5","[c]","[c]"
"In post","2022","60-64","Office of Rail and Road","Male","15","15","[c]","[c]"
"In post","2022","60-64","Office of the Public Guardian","Female","50","40","24170","20970"
"In post","2022","60-64","Office of the Public Guardian","Male","35","35","23000","20970"
"In post","2022","60-64","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Office of the Secretary of State for Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Planning Inspectorate","Female","20","15","[c]","[c]"
"In post","2022","60-64","Planning Inspectorate","Male","40","35","51280","58810"
"In post","2022","60-64","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Registers of Scotland","Female","45","35","31800","30840"
"In post","2022","60-64","Registers of Scotland","Male","30","30","32500","30840"
"In post","2022","60-64","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Royal Fleet Auxiliary","Male","110","110","40250","37300"
"In post","2022","60-64","Rural Payments Agency","Female","110","90","25600","21300"
"In post","2022","60-64","Rural Payments Agency","Male","85","75","28020","25190"
"In post","2022","60-64","Scottish Courts and Tribunals Service","Female","110","90","26530","23780"
"In post","2022","60-64","Scottish Courts and Tribunals Service","Male","75","60","28420","23780"
"In post","2022","60-64","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Scottish Forestry","Female","5","5","[c]","[c]"
"In post","2022","60-64","Scottish Forestry","Male","5","5","[c]","[c]"
"In post","2022","60-64","Scottish Government (excl. agencies)","Female","185","155","44840","39660"
"In post","2022","60-64","Scottish Government (excl. agencies)","Male","240","220","47320","44130"
"In post","2022","60-64","Scottish Housing Regulator","Female","5","5","[c]","[c]"
"In post","2022","60-64","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Scottish Prison Service","Female","55","40","32350","30950"
"In post","2022","60-64","Scottish Prison Service","Male","320","210","35870","35000"
"In post","2022","60-64","Scottish Public Pensions Agency","Female","20","15","[c]","[c]"
"In post","2022","60-64","Scottish Public Pensions Agency","Male","10","5","[c]","[c]"
"In post","2022","60-64","Serious Fraud Office","Female","5","5","[c]","[c]"
"In post","2022","60-64","Serious Fraud Office","Male","20","20","[c]","[c]"
"In post","2022","60-64","Social Security Scotland","Female","40","40","26670","23230"
"In post","2022","60-64","Social Security Scotland","Male","30","25","[c]","[c]"
"In post","2022","60-64","Standards and Testing Agency","Female","5","5","[c]","[c]"
"In post","2022","60-64","Standards and Testing Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Student Awards Agency for Scotland","Female","5","5","[c]","[c]"
"In post","2022","60-64","Student Awards Agency for Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Submarine Delivery Agency","Female","25","20","[c]","[c]"
"In post","2022","60-64","Submarine Delivery Agency","Male","95","85","51570","46000"
"In post","2022","60-64","Teaching Regulation Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","The Insolvency Service","Female","65","60","29830","25120"
"In post","2022","60-64","The Insolvency Service","Male","60","55","34620","35240"
"In post","2022","60-64","The National Archives","Female","20","20","[c]","[c]"
"In post","2022","60-64","The National Archives","Male","20","20","[c]","[c]"
"In post","2022","60-64","Transport Scotland","Female","15","10","[c]","[c]"
"In post","2022","60-64","Transport Scotland","Male","25","25","[c]","[c]"
"In post","2022","60-64","UK Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Export Finance","Female","5","5","[c]","[c]"
"In post","2022","60-64","UK Export Finance","Male","20","20","[c]","[c]"
"In post","2022","60-64","UK Health Security Agency","Female","235","200","46660","36330"
"In post","2022","60-64","UK Health Security Agency","Male","135","125","67120","58770"
"In post","2022","60-64","UK Hydrographic Office","Female","15","15","[c]","[c]"
"In post","2022","60-64","UK Hydrographic Office","Male","45","40","37630","35340"
"In post","2022","60-64","UK Space Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Space Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Statistics Authority","Female","265","195","26100","20350"
"In post","2022","60-64","UK Statistics Authority","Male","200","155","27690","20350"
"In post","2022","60-64","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Valuation Office Agency","Female","170","140","31940","27000"
"In post","2022","60-64","Valuation Office Agency","Male","185","150","39400","34000"
"In post","2022","60-64","Vehicle Certification Agency","Female","5","5","[c]","[c]"
"In post","2022","60-64","Vehicle Certification Agency","Male","10","10","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Female","5","5","[c]","[c]"
"In post","2022","60-64","Veterinary Medicines Directorate","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Water Services Regulation Authority","Male","5","5","[c]","[c]"
"In post","2022","60-64","Welsh Government (excl. agencies)","Female","235","200","39620","38160"
"In post","2022","60-64","Welsh Government (excl. agencies)","Male","190","170","48900","47470"
"In post","2022","60-64","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Wilton Park","Female","10","10","[c]","[c]"
"In post","2022","60-64","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Advisory, Conciliation and Arbitration Service","Female","15","10","[c]","[c]"
"In post","2022","65+","Advisory, Conciliation and Arbitration Service","Male","25","20","[c]","[c]"
"In post","2022","65+","Animal and Plant Health Agency","Female","40","35","28610","24370"
"In post","2022","65+","Animal and Plant Health Agency","Male","50","40","35640","31790"
"In post","2022","65+","Cabinet Office (excl. agencies)","Female","35","30","39990","34980"
"In post","2022","65+","Cabinet Office (excl. agencies)","Male","45","40","55680","40600"
"In post","2022","65+","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Centre for Environment, Fisheries and Aquaculture Science","Male","5","5","[c]","[c]"
"In post","2022","65+","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Companies House","Female","20","15","[c]","[c]"
"In post","2022","65+","Companies House","Male","10","10","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2022","65+","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Crown Commercial Service","Male","5","5","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Female","20","15","[c]","[c]"
"In post","2022","65+","Crown Office and Procurator Fiscal Service","Male","15","15","[c]","[c]"
"In post","2022","65+","Crown Prosecution Service","Female","55","45","39990","29860"
"In post","2022","65+","Crown Prosecution Service","Male","55","45","49530","55610"
"In post","2022","65+","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Defence Electronics and Components Agency","Male","15","15","[c]","[c]"
"In post","2022","65+","Defence Equipment and Support","Female","55","45","32400","28840"
"In post","2022","65+","Defence Equipment and Support","Male","230","195","37020","35700"
"In post","2022","65+","Defence Science and Technology Laboratory","Female","20","15","[c]","[c]"
"In post","2022","65+","Defence Science and Technology Laboratory","Male","85","65","50010","48150"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","30","25","[c]","[c]"
"In post","2022","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","30","25","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Female","30","25","[c]","[c]"
"In post","2022","65+","Department for Education (excl. agencies)","Male","25","25","[c]","[c]"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","55","50","32860","29720"
"In post","2022","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","35","30","40380","37060"
"In post","2022","65+","Department for International Trade","Female","10","10","[c]","[c]"
"In post","2022","65+","Department for International Trade","Male","15","15","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","10","10","[c]","[c]"
"In post","2022","65+","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","20","20","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Female","25","20","[c]","[c]"
"In post","2022","65+","Department for Transport (excl. agencies)","Male","45","35","42330","33390"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Female","1780","1250","25900","26120"
"In post","2022","65+","Department for Work and Pensions (excl. agencies)","Male","950","735","27080","27570"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Female","20","20","[c]","[c]"
"In post","2022","65+","Department of Health and Social Care (excl. agencies)","Male","15","10","[c]","[c]"
"In post","2022","65+","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Female","115","70","22390","21840"
"In post","2022","65+","Driver and Vehicle Licensing Agency","Male","45","35","27670","21840"
"In post","2022","65+","Driver and Vehicle Standards Agency","Female","35","25","25850","26780"
"In post","2022","65+","Driver and Vehicle Standards Agency","Male","255","190","28870","26780"
"In post","2022","65+","Education and Skills Funding Agency","Female","15","15","[c]","[c]"
"In post","2022","65+","Education and Skills Funding Agency","Male","5","5","[c]","[c]"
"In post","2022","65+","Education Scotland","Female","10","5","[c]","[c]"
"In post","2022","65+","Education Scotland","Male","5","5","[c]","[c]"
"In post","2022","65+","Estyn","Female","5","5","[c]","[c]"
"In post","2022","65+","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","FCDO Services","Female","5","5","[c]","[c]"
"In post","2022","65+","FCDO Services","Male","55","35","50250","53430"
"In post","2022","65+","Food Standards Agency","Female","10","5","[c]","[c]"
"In post","2022","65+","Food Standards Agency","Male","45","35","32520","28800"
"In post","2022","65+","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Foreign, Commonwealth and Development Office (excl. agencies)","Female","35","30","37940","29450"
"In post","2022","65+","Foreign, Commonwealth and Development Office (excl. agencies)","Male","40","35","52660","46340"
"In post","2022","65+","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Forestry and Land Scotland","Male","25","25","[c]","[c]"
"In post","2022","65+","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Legal Department","Female","25","20","[c]","[c]"
"In post","2022","65+","Government Legal Department","Male","15","15","[c]","[c]"
"In post","2022","65+","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Health and Safety Executive","Female","20","15","[c]","[c]"
"In post","2022","65+","Health and Safety Executive","Male","40","30","57140","50660"
"In post","2022","65+","HM Courts and Tribunals Service","Female","400","305","23200","21410"
"In post","2022","65+","HM Courts and Tribunals Service","Male","265","220","23640","21410"
"In post","2022","65+","HM Land Registry","Female","70","45","32060","27130"
"In post","2022","65+","HM Land Registry","Male","65","40","33540","33840"
"In post","2022","65+","HM Prison and Probation Service","Female","595","445","29320","27380"
"In post","2022","65+","HM Prison and Probation Service","Male","820","595","29780","28200"
"In post","2022","65+","HM Revenue and Customs (excl. agencies)","Female","745","530","27770","25330"
"In post","2022","65+","HM Revenue and Customs (excl. agencies)","Male","730","530","34390","28920"
"In post","2022","65+","HM Treasury (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2022","65+","HM Treasury (excl. agencies)","Male","5","5","[c]","[c]"
"In post","2022","65+","Home Office","Female","385","290","27200","25630"
"In post","2022","65+","Home Office","Male","450","345","30270","27610"
"In post","2022","65+","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Intellectual Property Office","Female","15","10","[c]","[c]"
"In post","2022","65+","Intellectual Property Office","Male","20","15","[c]","[c]"
"In post","2022","65+","Legal Aid Agency","Female","15","15","[c]","[c]"
"In post","2022","65+","Legal Aid Agency","Male","15","15","[c]","[c]"
"In post","2022","65+","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Maritime and Coastguard Agency","Male","25","20","[c]","[c]"
"In post","2022","65+","Medicines and Healthcare Products Regulatory Agency","Female","20","15","[c]","[c]"
"In post","2022","65+","Medicines and Healthcare Products Regulatory Agency","Male","10","10","[c]","[c]"
"In post","2022","65+","Met Office","Female","5","5","[c]","[c]"
"In post","2022","65+","Met Office","Male","30","25","45500","47550"
"In post","2022","65+","Ministry of Defence (excl. agencies)","Female","440","385","26400","21830"
"In post","2022","65+","Ministry of Defence (excl. agencies)","Male","1110","1015","30380","26670"
"In post","2022","65+","Ministry of Justice (excl. agencies)","Female","30","25","32410","27110"
"In post","2022","65+","Ministry of Justice (excl. agencies)","Male","55","50","42810","41420"
"In post","2022","65+","National Crime Agency","Female","20","20","[c]","[c]"
"In post","2022","65+","National Crime Agency","Male","40","35","43650","40240"
"In post","2022","65+","National Records of Scotland","Female","5","5","[c]","[c]"
"In post","2022","65+","National Records of Scotland","Male","10","5","[c]","[c]"
"In post","2022","65+","National Savings and Investments","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","National Savings and Investments","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","65+","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","65+","Office for Standards in Education, Children's Services and Skills","Female","25","20","[c]","[c]"
"In post","2022","65+","Office for Standards in Education, Children's Services and Skills","Male","10","10","[c]","[c]"
"In post","2022","65+","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
