"Status","Year","Organisation","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Home Office","Home Office","Operational Research","Female","35","35","48310","42370"
"In post","2022","Home Office","Home Office","Operational Research","Male","55","55","45610","41000"
"In post","2022","Home Office","Home Office","Other","Female","1010","955","35080","30830"
"In post","2022","Home Office","Home Office","Other","Male","675","670","36470","30830"
"In post","2022","Home Office","Home Office","Policy","Female","1315","1275","49660","43970"
"In post","2022","Home Office","Home Office","Policy","Male","1065","1055","50970","52050"
"In post","2022","Home Office","Home Office","Project Delivery","Female","880","855","44030","41950"
"In post","2022","Home Office","Home Office","Project Delivery","Male","745","735","46050","41950"
"In post","2022","Home Office","Home Office","Property","Female","5","5","[c]","[c]"
"In post","2022","Home Office","Home Office","Property","Male","10","10","[c]","[c]"
"In post","2022","Home Office","Home Office","Science and Engineering","Female","65","60","47670","41960"
"In post","2022","Home Office","Home Office","Science and Engineering","Male","45","45","51050","44820"
"In post","2022","Home Office","Home Office","Security","Female","125","120","33980","30820"
"In post","2022","Home Office","Home Office","Security","Male","220","215","29840","25630"
"In post","2022","Home Office","Home Office","Social Research","Female","110","110","45170","43560"
"In post","2022","Home Office","Home Office","Social Research","Male","35","35","51910","55790"
"In post","2022","Home Office","Home Office","Statistics","Female","65","65","34660","30130"
"In post","2022","Home Office","Home Office","Statistics","Male","70","70","37920","35490"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Commercial","Female","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Commercial","Male","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Communications","Female","20","20","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Communications","Male","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Finance","Male","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Human Resources","Female","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Legal","Male","5","5","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","Female","90","90","48410","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","Male","45","45","50090","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Policy","Female","25","25","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Policy","Male","15","15","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Project Delivery","Female","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Commercial","Female","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Commercial","Male","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Communications","Female","20","20","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Communications","Male","15","15","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","60","60","43200","40000"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","150","150","46590","47390"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Economics","Male","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Finance","Female","15","15","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Finance","Male","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Human Resources","Female","50","45","36790","31300"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Human Resources","Male","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Female","15","15","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Male","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","International Trade","Male","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Legal","Female","35","35","48750","42990"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Legal","Male","25","25","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","425","385","26510","24030"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","270","260","28230","24030"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Other","Female","15","15","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Other","Male","5","5","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Policy","Female","50","45","42950","40280"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Policy","Male","55","55","51750","56450"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Project Delivery","Female","25","25","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Project Delivery","Male","15","15","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","Female","80","75","47790","42070"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","Male","300","285","49150","43740"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Security","Male","10","10","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Legal","Female","15","15","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Legal","Male","30","30","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Operational Delivery","Female","665","605","28120","25120"
"In post","2022","Legal Aid Agency","Ministry of Justice","Operational Delivery","Male","420","410","29450","25120"
"In post","2022","Legal Aid Agency","Ministry of Justice","Policy","Female","10","10","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Policy","Male","5","5","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Legal Aid Agency","Ministry of Justice","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Commercial","Female","15","15","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Commercial","Male","10","10","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Communications","Female","15","15","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Digital, Data and Technology","Female","30","30","36120","31380"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Digital, Data and Technology","Male","70","70","38200","33890"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Finance","Female","20","20","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Finance","Male","15","15","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Human Resources","Female","30","25","32520","31380"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Internal Audit","Female","10","10","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Internal Audit","Male","10","10","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","Female","245","225","30940","26840"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","Male","540","535","39740","35730"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Policy","Female","100","95","36560","32600"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Policy","Male","95","95","41870","40080"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Property","Female","5","5","[c]","[c]"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Property","Male","5","5","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Communications","Female","30","30","41050","35450"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Communications","Male","20","20","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","Female","30","30","50130","53100"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Digital, Data and Technology","Male","45","45","46500","41010"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","Female","20","20","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Finance","Male","15","15","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Human Resources","Female","25","25","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Medicine","Female","95","85","62230","67420"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Medicine","Male","50","50","64500","67080"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","Female","95","90","40180","33140"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Operational Delivery","Male","80","75","40530","34390"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Other","Female","155","145","48530","42160"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Other","Male","120","120","49350","41130"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Policy","Female","20","20","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Policy","Male","5","5","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Property","Female","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Property","Male","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","Female","200","190","48810","41950"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Science and Engineering","Male","100","100","53010","53100"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Statistics","Female","5","5","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","Female","110","100","42820","42640"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","Male","90","90","46170","47960"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Communications","Female","20","15","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Communications","Male","15","15","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","100","95","34380","35410"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","295","290","38190","36160"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Finance","Female","15","10","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Finance","Male","15","15","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Human Resources","Female","55","50","38570","33930"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Human Resources","Male","20","20","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Legal","Female","10","10","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","60","60","40140","39650"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","150","150","42670","40320"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Other","Female","15","15","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Other","Male","5","5","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","Female","95","90","39730","39650"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","Male","105","100","41530","40040"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Property","Female","15","10","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Property","Male","10","10","[c]","[c]"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","Female","330","300","36210","37420"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","Male","630","600","40100","39650"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","Female","555","530","35130","34500"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","Male","385","380","37690","35390"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Communications","Female","255","245","36270","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Communications","Male","260","260","34260","33000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","Female","690","665","33220","33000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","Male","1290","1275","35340","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","Female","2225","2135","35050","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","Male","1465","1445","40070","35300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Geography","Female","30","30","[c]","[c]"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Geography","Male","30","30","[c]","[c]"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","Female","1265","1160","30760","26670"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","Male","555","545","33890","30200"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Intelligence Analysis","Female","250","240","36240","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Intelligence Analysis","Male","590","575","37710","35500"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","Female","75","75","38010","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","Male","60","60","40340","37000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","Female","310","295","28980","26670"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","Male","270","265","32390","29560"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Legal","Female","25","20","[c]","[c]"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Legal","Male","25","25","[c]","[c]"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Medicine","Female","1205","1045","43390","39030"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Medicine","Male","445","400","57410","45840"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","Female","5630","5315","24960","21830"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","Male","5145","5065","27450","26350"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","Female","640","620","41140","37640"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","Male","570","565","49130","45200"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","Female","1210","1170","41270","40000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","Male","1470","1445","45730","40580"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","Female","800","765","30690","33000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","Male","1290","1260","32260","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","Female","220","215","38050","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","Male","1515","1490","33850","28430"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","Female","985","955","28660","25000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","Male","5375","5280","29900","26610"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","Female","105","100","40270","38000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","Male","135","135","40640","38000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","Male","20","20","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","Female","90","85","35710","36050"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","Male","75","75","39030","41100"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","Female","85","80","43200","41100"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","Male","55","55","45860","42560"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","Female","355","345","47130","44590"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","Male","575","575","49960","50430"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","Female","15","15","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","Male","40","40","47790","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","Female","295","285","41600","39500"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","Male","255","255","44840","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","Female","620","600","39970","34510"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","Male","245","240","40520","36470"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","Female","80","80","27270","21120"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","Male","40","40","31050","28310"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","Female","35","30","59710","58190"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","Male","25","25","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","Female","935","905","38370","34260"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","Male","580","570","39450","36050"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","Female","45","45","48230","46420"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","Male","65","60","49730","47100"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","Female","485","470","45310","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","Male","265","265","48390","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","Female","170","170","42110","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","Male","105","105","44260","41140"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","Female","140","135","40660","37180"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","Male","215","210","48530","46550"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","Female","30","30","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Security","Male","20","20","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","Female","60","60","50630","47430"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","Male","20","20","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","Female","65","60","47690","43740"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","Male","65","60","44480","42010"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","National Crime Agency","National Crime Agency","Commercial","Female","15","15","[c]","[c]"
"In post","2022","National Crime Agency","National Crime Agency","Commercial","Male","5","5","[c]","[c]"
"In post","2022","National Crime Agency","National Crime Agency","Communications","Female","20","20","[c]","[c]"
"In post","2022","National Crime Agency","National Crime Agency","Communications","Male","10","10","[c]","[c]"
"In post","2022","National Crime Agency","National Crime Agency","Digital, Data and Technology","Female","125","115","40870","37700"
"In post","2022","National Crime Agency","National Crime Agency","Digital, Data and Technology","Male","145","145","44390","42350"
"In post","2022","National Crime Agency","National Crime Agency","Finance","Female","40","40","36250","36740"
"In post","2022","National Crime Agency","National Crime Agency","Finance","Male","15","15","[c]","[c]"
"In post","2022","National Crime Agency","National Crime Agency","Human Resources","Female","110","100","39960","38210"
