"Status","Year","Disability","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","FCDO Services","Heterosexual / straight","750","720","40250","37320"
"In post","2022","Declared non-disabled","FCDO Services","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","FCDO Services","Undeclared","45","45","43180","38200"
"In post","2022","Declared non-disabled","FCDO Services","Unknown","85","85","41160","40850"
"In post","2022","Declared non-disabled","Food Standards Agency","Heterosexual / straight","650","630","38770","36960"
"In post","2022","Declared non-disabled","Food Standards Agency","LGBO","45","45","42020","37350"
"In post","2022","Declared non-disabled","Food Standards Agency","Undeclared","45","45","39210","36210"
"In post","2022","Declared non-disabled","Food Standards Agency","Unknown","185","175","32230","27190"
"In post","2022","Declared non-disabled","Food Standards Scotland","Heterosexual / straight","125","125","35510","31540"
"In post","2022","Declared non-disabled","Food Standards Scotland","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Scotland","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","3990","3910","49630","48120"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","265","265","49760","51500"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","315","310","49870","48670"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","125","120","49040","51500"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","Heterosexual / straight","300","285","35040","31060"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Forestry and Land Scotland","Unknown","585","565","32190","30020"
"In post","2022","Declared non-disabled","Government Actuary's Department","Heterosexual / straight","145","135","69740","65470"
"In post","2022","Declared non-disabled","Government Actuary's Department","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Government Actuary's Department","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Government Actuary's Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","Heterosexual / straight","305","290","48930","47060"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","Undeclared","30","30","49410","46270"
"In post","2022","Declared non-disabled","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Government Legal Department","Heterosexual / straight","1495","1400","53080","51250"
"In post","2022","Declared non-disabled","Government Legal Department","LGBO","125","120","53610","51250"
"In post","2022","Declared non-disabled","Government Legal Department","Undeclared","115","110","51780","51250"
"In post","2022","Declared non-disabled","Government Legal Department","Unknown","215","190","58280","63730"
"In post","2022","Declared non-disabled","Government Property Agency","Heterosexual / straight","205","200","50490","49700"
"In post","2022","Declared non-disabled","Government Property Agency","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Government Property Agency","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Health and Safety Executive","Heterosexual / straight","1610","1525","43640","40180"
"In post","2022","Declared non-disabled","Health and Safety Executive","LGBO","80","80","39150","34380"
"In post","2022","Declared non-disabled","Health and Safety Executive","Undeclared","275","260","43270","41480"
"In post","2022","Declared non-disabled","Health and Safety Executive","Unknown","160","145","43150","41000"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","Heterosexual / straight","9280","8350","27060","23720"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","LGBO","360","350","27870","23720"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","Undeclared","1180","1065","27650","23720"
"In post","2022","Declared non-disabled","HM Courts and Tribunals Service","Unknown","475","400","27740","24310"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","HM Land Registry","Heterosexual / straight","2895","2620","33320","30600"
"In post","2022","Declared non-disabled","HM Land Registry","LGBO","85","80","32330","27130"
"In post","2022","Declared non-disabled","HM Land Registry","Undeclared","395","340","33110","31740"
"In post","2022","Declared non-disabled","HM Land Registry","Unknown","775","685","30380","27130"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","Heterosexual / straight","33605","31940","30510","28200"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","LGBO","2230","2175","30020","27430"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","Undeclared","1985","1855","32280","31650"
"In post","2022","Declared non-disabled","HM Prison and Probation Service","Unknown","2090","1845","31880","31650"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","32135","30145","35040","33080"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","LGBO","1880","1830","34440","33080"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Undeclared","2035","1860","34480","33080"
"In post","2022","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Unknown","3305","2880","31210","26820"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","Heterosexual / straight","1255","1225","48500","52500"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","LGBO","115","115","46670","52500"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","Undeclared","100","95","45740","38890"
"In post","2022","Declared non-disabled","HM Treasury (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Home Office","Heterosexual / straight","22830","21260","32630","28650"
"In post","2022","Declared non-disabled","Home Office","LGBO","810","785","33860","28660"
"In post","2022","Declared non-disabled","Home Office","Undeclared","2365","2165","32930","28650"
"In post","2022","Declared non-disabled","Home Office","Unknown","110","105","31900","28650"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","Heterosexual / straight","155","150","49420","49960"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Institute for Apprenticeships and Technical Education","Unknown","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Intellectual Property Office","Heterosexual / straight","915","865","38990","32210"
"In post","2022","Declared non-disabled","Intellectual Property Office","LGBO","50","50","34280","30530"
"In post","2022","Declared non-disabled","Intellectual Property Office","Undeclared","40","40","41880","41500"
"In post","2022","Declared non-disabled","Intellectual Property Office","Unknown","195","180","43930","42200"
"In post","2022","Declared non-disabled","Legal Aid Agency","Heterosexual / straight","760","710","30890","25120"
"In post","2022","Declared non-disabled","Legal Aid Agency","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Legal Aid Agency","Undeclared","60","60","28550","25120"
"In post","2022","Declared non-disabled","Legal Aid Agency","Unknown","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","Heterosexual / straight","715","690","39290","36040"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","Undeclared","90","85","40200","38350"
"In post","2022","Declared non-disabled","Maritime and Coastguard Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","305","295","52050","53100"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Undeclared","55","55","55750","53730"
"In post","2022","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Unknown","45","40","58640","53970"
"In post","2022","Declared non-disabled","Met Office","Heterosexual / straight","1565","1490","40190","39650"
"In post","2022","Declared non-disabled","Met Office","LGBO","100","95","36110","37420"
"In post","2022","Declared non-disabled","Met Office","Undeclared","380","360","39640","39650"
"In post","2022","Declared non-disabled","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","Heterosexual / straight","21990","21260","32780","29200"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","LGBO","645","635","34220","33000"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","Undeclared","1945","1875","34210","33000"
"In post","2022","Declared non-disabled","Ministry of Defence (excl. agencies)","Unknown","530","510","32830","30910"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","Heterosexual / straight","3455","3360","43900","41750"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","LGBO","265","260","44520","41750"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","Undeclared","255","250","44360","41750"
"In post","2022","Declared non-disabled","Ministry of Justice (excl. agencies)","Unknown","135","130","39690","34260"
"In post","2022","Declared non-disabled","National Crime Agency","Heterosexual / straight","1400","1350","44160","41870"
"In post","2022","Declared non-disabled","National Crime Agency","LGBO","60","60","41230","37560"
"In post","2022","Declared non-disabled","National Crime Agency","Undeclared","100","100","42510","41340"
"In post","2022","Declared non-disabled","National Crime Agency","Unknown","70","65","42150","40210"
"In post","2022","Declared non-disabled","National Infrastructure Commission","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","National Infrastructure Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Infrastructure Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Infrastructure Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","National Records of Scotland","Heterosexual / straight","130","125","40480","36130"
"In post","2022","Declared non-disabled","National Records of Scotland","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","National Records of Scotland","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","National Records of Scotland","Unknown","70","65","33020","25930"
"In post","2022","Declared non-disabled","National Savings and Investments","Heterosexual / straight","130","125","49890","44800"
"In post","2022","Declared non-disabled","National Savings and Investments","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","National Savings and Investments","Undeclared","50","50","55780","48750"
"In post","2022","Declared non-disabled","National Savings and Investments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Heterosexual / straight","90","90","46910","41750"
"In post","2022","Declared non-disabled","Northern Ireland Office","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Budget Responsibility","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Budget Responsibility","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Budget Responsibility","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","1315","1270","51950","51360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","LGBO","105","105","50740","46360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Undeclared","70","70","47650","46360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Unknown","30","25","40510","33510"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Heterosexual / straight","630","620","42000","35050"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","LGBO","75","75","37710","32160"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Undeclared","55","55","41640","37120"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Unknown","415","410","47930","43650"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","165","160","44430","38760"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Heterosexual / straight","195","190","53240","52500"
"In post","2022","Declared non-disabled","Office of Rail and Road","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Undeclared","30","30","53430","53370"
"In post","2022","Declared non-disabled","Office of Rail and Road","Unknown","70","65","59670","60020"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Heterosexual / straight","785","720","24280","20970"
"In post","2022","Declared non-disabled","Office of the Public Guardian","LGBO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Undeclared","70","65","24640","21090"
"In post","2022","Declared non-disabled","Office of the Public Guardian","Unknown","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Scottish Charity Regulator","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Scottish Charity Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Scottish Charity Regulator","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Heterosexual / straight","35","35","50760","47490"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectorate","Heterosexual / straight","450","415","46090","47660"
"In post","2022","Declared non-disabled","Planning Inspectorate","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Planning Inspectorate","Undeclared","30","25","43090","41020"
"In post","2022","Declared non-disabled","Planning Inspectorate","Unknown","65","55","32300","27530"
"In post","2022","Declared non-disabled","Queen Elizabeth II Centre","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Queen Elizabeth II Centre","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Queen Elizabeth II Centre","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Queen Elizabeth II Centre","Unknown","40","40","41470","37540"
"In post","2022","Declared non-disabled","Registers of Scotland","Heterosexual / straight","520","505","35210","30840"
"In post","2022","Declared non-disabled","Registers of Scotland","LGBO","30","30","34720","30840"
"In post","2022","Declared non-disabled","Registers of Scotland","Undeclared","30","30","34610","32940"
"In post","2022","Declared non-disabled","Registers of Scotland","Unknown","20","15","[c]","[c]"
"In post","2022","Declared non-disabled","Revenue Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Revenue Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Revenue Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Royal Fleet Auxiliary","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Royal Fleet Auxiliary","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Royal Fleet Auxiliary","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Rural Payments Agency","Heterosexual / straight","1045","950","27430","25100"
"In post","2022","Declared non-disabled","Rural Payments Agency","LGBO","70","70","26670","24920"
"In post","2022","Declared non-disabled","Rural Payments Agency","Undeclared","60","60","24670","21300"
"In post","2022","Declared non-disabled","Rural Payments Agency","Unknown","1125","1045","24770","21300"
"In post","2022","Declared non-disabled","Scottish Courts and Tribunals Service","Heterosexual / straight","400","380","31200","27080"
"In post","2022","Declared non-disabled","Scottish Courts and Tribunals Service","LGBO","30","30","26190","23780"
"In post","2022","Declared non-disabled","Scottish Courts and Tribunals Service","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Courts and Tribunals Service","Unknown","135","130","22990","22000"
"In post","2022","Declared non-disabled","Scottish Fiscal Commission","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Fiscal Commission","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Fiscal Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Forestry","Heterosexual / straight","65","65","36890","31060"
"In post","2022","Declared non-disabled","Scottish Forestry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Forestry","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Forestry","Unknown","95","90","35640","36390"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Heterosexual / straight","3955","3810","45160","40810"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","LGBO","295","290","42540","39660"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Undeclared","235","230","45060","40810"
"In post","2022","Declared non-disabled","Scottish Government (excl. agencies)","Unknown","480","445","47000","44130"
"In post","2022","Declared non-disabled","Scottish Housing Regulator","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Housing Regulator","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Housing Regulator","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Housing Regulator","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Prison Service","Heterosexual / straight","50","45","40880","37240"
"In post","2022","Declared non-disabled","Scottish Prison Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Prison Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Prison Service","Unknown","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Public Pensions Agency","Heterosexual / straight","80","75","33860","30040"
"In post","2022","Declared non-disabled","Scottish Public Pensions Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Public Pensions Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Public Pensions Agency","Unknown","50","45","31360","28990"
"In post","2022","Declared non-disabled","Serious Fraud Office","Heterosexual / straight","280","275","46720","41100"
"In post","2022","Declared non-disabled","Serious Fraud Office","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Serious Fraud Office","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Serious Fraud Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Social Security Scotland","Heterosexual / straight","1110","1080","31750","27940"
"In post","2022","Declared non-disabled","Social Security Scotland","LGBO","100","100","29560","27230"
"In post","2022","Declared non-disabled","Social Security Scotland","Undeclared","45","45","34420","31540"
"In post","2022","Declared non-disabled","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Standards and Testing Agency","Heterosexual / straight","75","70","44450","42220"
"In post","2022","Declared non-disabled","Standards and Testing Agency","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Standards and Testing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Student Awards Agency for Scotland","Heterosexual / straight","55","55","33640","30790"
"In post","2022","Declared non-disabled","Student Awards Agency for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Student Awards Agency for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Student Awards Agency for Scotland","Unknown","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Heterosexual / straight","1240","1210","41310","39720"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","LGBO","35","35","30570","28030"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Undeclared","95","95","43150","40320"
"In post","2022","Declared non-disabled","Submarine Delivery Agency","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Teaching Regulation Agency","Heterosexual / straight","40","35","35320","29730"
"In post","2022","Declared non-disabled","Teaching Regulation Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Teaching Regulation Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Teaching Regulation Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","The Insolvency Service","Heterosexual / straight","685","650","35390","34050"
"In post","2022","Declared non-disabled","The Insolvency Service","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","The Insolvency Service","Undeclared","35","30","39440","36750"
"In post","2022","Declared non-disabled","The Insolvency Service","Unknown","310","285","32390","28560"
"In post","2022","Declared non-disabled","The National Archives","Heterosexual / straight","195","190","38460","34770"
"In post","2022","Declared non-disabled","The National Archives","LGBO","30","30","31040","28250"
"In post","2022","Declared non-disabled","The National Archives","Undeclared","45","45","35910","34140"
"In post","2022","Declared non-disabled","The National Archives","Unknown","90","85","35080","34770"
"In post","2022","Declared non-disabled","Transport Scotland","Heterosexual / straight","220","215","46970","43000"
"In post","2022","Declared non-disabled","Transport Scotland","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Transport Scotland","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Transport Scotland","Unknown","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","UK Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Debt Management Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Heterosexual / straight","375","370","52210","47300"
"In post","2022","Declared non-disabled","UK Export Finance","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","UK Health Security Agency","Heterosexual / straight","3115","2875","39670","33340"
"In post","2022","Declared non-disabled","UK Health Security Agency","LGBO","205","190","38850","32330"
"In post","2022","Declared non-disabled","UK Health Security Agency","Undeclared","320","285","39320","32330"
"In post","2022","Declared non-disabled","UK Health Security Agency","Unknown","65","65","57240","48860"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Heterosexual / straight","480","460","35830","33290"
"In post","2022","Declared non-disabled","UK Hydrographic Office","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","UK Hydrographic Office","Unknown","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","UK Space Agency","Heterosexual / straight","105","105","46080","40140"
"In post","2022","Declared non-disabled","UK Space Agency","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","UK Space Agency","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","UK Space Agency","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Heterosexual / straight","2310","2060","35050","30810"
"In post","2022","Declared non-disabled","UK Statistics Authority","LGBO","120","115","35480","31320"
"In post","2022","Declared non-disabled","UK Statistics Authority","Undeclared","120","110","34980","33710"
"In post","2022","Declared non-disabled","UK Statistics Authority","Unknown","390","340","35500","31860"
"In post","2022","Declared non-disabled","UK Supreme Court","Heterosexual / straight","35","35","39370","31680"
"In post","2022","Declared non-disabled","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Valuation Office Agency","Heterosexual / straight","2020","1890","36840","32890"
"In post","2022","Declared non-disabled","Valuation Office Agency","LGBO","105","100","33330","31670"
"In post","2022","Declared non-disabled","Valuation Office Agency","Undeclared","180","165","36130","32890"
"In post","2022","Declared non-disabled","Valuation Office Agency","Unknown","195","170","34560","31670"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","Heterosexual / straight","155","150","36900","34290"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinary Medicines Directorate","Heterosexual / straight","110","105","38790","34550"
"In post","2022","Declared non-disabled","Veterinary Medicines Directorate","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinary Medicines Directorate","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Veterinary Medicines Directorate","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Heterosexual / straight","150","145","54780","49810"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Unknown","30","30","56430","51630"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","Heterosexual / straight","4320","4080","42190","38160"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","LGBO","190","185","42410","38160"
"In post","2022","Declared non-disabled","Welsh Government (excl. agencies)","Undeclared","480","450","42550","38160"
