"Status","Year","Age","Disability","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Undeclared","Driver and Vehicle Licensing Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Driver and Vehicle Standards Agency","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Driver and Vehicle Standards Agency","EO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Driver and Vehicle Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Education and Skills Funding Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Education and Skills Funding Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","FCDO Services","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Food Standards Agency","EO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Food Standards Agency","SEO/HEO","35","35","34500","32350"
"In post","2022","20-29","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Government Legal Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Health and Safety Executive","EO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Health and Safety Executive","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Courts and Tribunals Service","AA/AO","55","55","21400","20970"
"In post","2022","20-29","Undeclared","HM Courts and Tribunals Service","EO","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Courts and Tribunals Service","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Land Registry","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Land Registry","EO","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Prison and Probation Service","AA/AO","190","190","26130","25700"
"In post","2022","20-29","Undeclared","HM Prison and Probation Service","EO","35","35","30810","31470"
"In post","2022","20-29","Undeclared","HM Prison and Probation Service","SEO/HEO","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Prison and Probation Service","Unknown","80","80","25840","24180"
"In post","2022","20-29","Undeclared","HM Revenue and Customs (excl. agencies)","AA/AO","85","80","21420","21250"
"In post","2022","20-29","Undeclared","HM Revenue and Customs (excl. agencies)","EO","85","85","27020","26820"
"In post","2022","20-29","Undeclared","HM Revenue and Customs (excl. agencies)","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Revenue and Customs (excl. agencies)","SEO/HEO","110","110","35140","33370"
"In post","2022","20-29","Undeclared","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Treasury (excl. agencies)","EO","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","HM Treasury (excl. agencies)","G6/G7","60","60","54400","52530"
"In post","2022","20-29","Undeclared","HM Treasury (excl. agencies)","SEO/HEO","115","115","33370","32320"
"In post","2022","20-29","Undeclared","Home Office","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Home Office","EO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Home Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Home Office","SEO/HEO","20","20","[c]","[c]"
"In post","2022","20-29","Undeclared","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Maritime and Coastguard Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Ministry of Defence (excl. agencies)","AA/AO","40","40","23500","21170"
"In post","2022","20-29","Undeclared","Ministry of Defence (excl. agencies)","EO","30","30","27990","26350"
"In post","2022","20-29","Undeclared","Ministry of Defence (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Ministry of Defence (excl. agencies)","SEO/HEO","45","45","37310","37000"
"In post","2022","20-29","Undeclared","Ministry of Justice (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Ministry of Justice (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Ministry of Justice (excl. agencies)","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Ministry of Justice (excl. agencies)","SEO/HEO","25","25","[c]","[c]"
"In post","2022","20-29","Undeclared","National Infrastructure Commission","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","National Records of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","National Records of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Office for Budget Responsibility","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Office for Budget Responsibility","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Office for Budget Responsibility","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Office of the Public Guardian","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Office of the Public Guardian","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Office of the Public Guardian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Registers of Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Registers of Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Registers of Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Rural Payments Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Rural Payments Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Scottish Fiscal Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Scottish Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Scottish Government (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Scottish Government (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Scottish Government (excl. agencies)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Serious Fraud Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Serious Fraud Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Social Security Scotland","AA/AO","10","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Social Security Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Social Security Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Submarine Delivery Agency","Unknown","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","The Insolvency Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","The Insolvency Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Transport Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Health Security Agency","AA/AO","10","5","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Health Security Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Health Security Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Hydrographic Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Hydrographic Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Space Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","UK Statistics Authority","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Undeclared","Valuation Office Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Valuation Office Agency","EO","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Valuation Office Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Vehicle Certification Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Vehicle Certification Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Vehicle Certification Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Veterinary Medicines Directorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Welsh Government (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Welsh Government (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Welsh Government (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Accountant in Bankruptcy","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Advisory, Conciliation and Arbitration Service","EO","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Advisory, Conciliation and Arbitration Service","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Animal and Plant Health Agency","AA/AO","40","35","22430","21300"
"In post","2022","20-29","Unknown","Animal and Plant Health Agency","EO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Animal and Plant Health Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Attorney General's Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Attorney General's Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Cabinet Office (excl. agencies)","AA/AO","40","35","21390","21050"
"In post","2022","20-29","Unknown","Cabinet Office (excl. agencies)","EO","100","100","26690","27500"
"In post","2022","20-29","Unknown","Cabinet Office (excl. agencies)","G6/G7","175","175","57650","54700"
"In post","2022","20-29","Unknown","Cabinet Office (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Cabinet Office (excl. agencies)","SEO/HEO","1705","1705","30440","29250"
"In post","2022","20-29","Unknown","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Charity Commission","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Charity Commission","EO","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Charity Commission","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Companies House","AA/AO","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Companies House","EO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Companies House","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Criminal Injuries Compensation Authority","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Criminal Injuries Compensation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Criminal Injuries Compensation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Commercial Service","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Commercial Service","EO","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Commercial Service","SEO/HEO","55","55","32330","30940"
"In post","2022","20-29","Unknown","Crown Office and Procurator Fiscal Service","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Office and Procurator Fiscal Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Office and Procurator Fiscal Service","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Crown Prosecution Service","AA/AO","200","195","23060","23720"
"In post","2022","20-29","Unknown","Crown Prosecution Service","EO","140","140","26310","26090"
"In post","2022","20-29","Unknown","Crown Prosecution Service","G6/G7","40","40","50190","48080"
"In post","2022","20-29","Unknown","Crown Prosecution Service","SEO/HEO","60","60","36300","38000"
"In post","2022","20-29","Unknown","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Defence Equipment and Support","EO","135","135","22170","20900"
"In post","2022","20-29","Unknown","Defence Equipment and Support","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Defence Equipment and Support","SEO/HEO","125","125","31880","31600"
"In post","2022","20-29","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","40","40","27970","27680"
"In post","2022","20-29","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","75","75","55370","53380"
"In post","2022","20-29","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","225","225","36570","34620"
"In post","2022","20-29","Unknown","Department for Digital, Culture, Media and Sport","EO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Digital, Culture, Media and Sport","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Digital, Culture, Media and Sport","SEO/HEO","45","45","35070","34020"
"In post","2022","20-29","Unknown","Department for Education (excl. agencies)","AA/AO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Education (excl. agencies)","EO","225","225","26030","25000"
"In post","2022","20-29","Unknown","Department for Education (excl. agencies)","G6/G7","110","110","53090","53420"
"In post","2022","20-29","Unknown","Department for Education (excl. agencies)","SEO/HEO","380","375","34800","32940"
"In post","2022","20-29","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","40","40","26150","25170"
"In post","2022","20-29","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","40","40","52800","52290"
"In post","2022","20-29","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","170","170","33860","32560"
"In post","2022","20-29","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Department for International Trade","EO","60","60","27100","26250"
"In post","2022","20-29","Unknown","Department for International Trade","G6/G7","110","110","52960","51710"
"In post","2022","20-29","Unknown","Department for International Trade","SEO/HEO","300","300","35610","35560"
"In post","2022","20-29","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","10","5","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","40","40","27270","27850"
"In post","2022","20-29","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","35","35","55320","54700"
"In post","2022","20-29","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","105","105","35440","34550"
"In post","2022","20-29","Unknown","Department for Transport (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Transport (excl. agencies)","EO","50","50","28850","29970"
"In post","2022","20-29","Unknown","Department for Transport (excl. agencies)","G6/G7","40","40","55940","54110"
"In post","2022","20-29","Unknown","Department for Transport (excl. agencies)","SEO/HEO","150","145","36370","34710"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","AA/AO","335","325","21710","21260"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","EO","550","540","28400","27570"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","G6/G7","25","25","[c]","[c]"
"In post","2022","20-29","Unknown","Department for Work and Pensions (excl. agencies)","SEO/HEO","120","120","36050","36650"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","AA/AO","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","EO","205","205","26640","27270"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","G6/G7","245","245","54400","53360"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Department of Health and Social Care (excl. agencies)","SEO/HEO","515","515","35030","32790"
"In post","2022","20-29","Unknown","Disclosure Scotland","AA/AO","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Disclosure Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Disclosure Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Driver and Vehicle Licensing Agency","AA/AO","190","180","20540","21840"
"In post","2022","20-29","Unknown","Driver and Vehicle Licensing Agency","EO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Driver and Vehicle Licensing Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Driver and Vehicle Standards Agency","AA/AO","65","60","22860","21840"
"In post","2022","20-29","Unknown","Driver and Vehicle Standards Agency","EO","45","45","26780","26130"
"In post","2022","20-29","Unknown","Driver and Vehicle Standards Agency","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Education and Skills Funding Agency","EO","50","50","25440","25000"
"In post","2022","20-29","Unknown","Education and Skills Funding Agency","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Education and Skills Funding Agency","SEO/HEO","80","80","32420","29360"
"In post","2022","20-29","Unknown","Education Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Education Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","FCDO Services","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Agency","EO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Agency","SEO/HEO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Scotland","EO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Food Standards Scotland","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","EO","35","35","28310","27500"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","35","35","50970","51960"
"In post","2022","20-29","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","170","170","36020","36640"
"In post","2022","20-29","Unknown","Forestry and Land Scotland","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Forestry and Land Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Forestry and Land Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Actuary's Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Actuary's Department","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Government Internal Audit Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Legal Department","EO","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","Government Legal Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Legal Department","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Government Property Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Property Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Government Property Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Health and Safety Executive","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Health and Safety Executive","EO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Health and Safety Executive","SEO/HEO","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","HM Courts and Tribunals Service","AA/AO","525","510","21640","20970"
"In post","2022","20-29","Unknown","HM Courts and Tribunals Service","EO","85","80","26930","28310"
"In post","2022","20-29","Unknown","HM Courts and Tribunals Service","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","HM Courts and Tribunals Service","SEO/HEO","125","125","33860","34260"
"In post","2022","20-29","Unknown","HM Land Registry","AA/AO","330","325","22720","22600"
"In post","2022","20-29","Unknown","HM Land Registry","EO","185","180","27800","27130"
"In post","2022","20-29","Unknown","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","HM Land Registry","SEO/HEO","45","45","37480","37290"
"In post","2022","20-29","Unknown","HM Prison and Probation Service","AA/AO","1900","1885","25320","24430"
"In post","2022","20-29","Unknown","HM Prison and Probation Service","EO","95","95","29290","28600"
"In post","2022","20-29","Unknown","HM Prison and Probation Service","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","HM Prison and Probation Service","SEO/HEO","70","70","33000","31390"
"In post","2022","20-29","Unknown","HM Prison and Probation Service","Unknown","825","800","24450","23850"
"In post","2022","20-29","Unknown","HM Revenue and Customs (excl. agencies)","AA/AO","1900","1820","21350","21250"
"In post","2022","20-29","Unknown","HM Revenue and Customs (excl. agencies)","EO","1420","1410","26890","26820"
"In post","2022","20-29","Unknown","HM Revenue and Customs (excl. agencies)","G6/G7","120","120","58380","58600"
"In post","2022","20-29","Unknown","HM Revenue and Customs (excl. agencies)","SEO/HEO","1060","1055","35110","33370"
"In post","2022","20-29","Unknown","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","HM Treasury (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","HM Treasury (excl. agencies)","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Unknown","HM Treasury (excl. agencies)","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Home Office","AA/AO","585","580","22010","21680"
"In post","2022","20-29","Unknown","Home Office","EO","1020","1015","26540","24880"
"In post","2022","20-29","Unknown","Home Office","G6/G7","125","125","57920","57430"
"In post","2022","20-29","Unknown","Home Office","SEO/HEO","590","590","36780","35050"
"In post","2022","20-29","Unknown","Home Office","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","Institute for Apprenticeships and Technical Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Intellectual Property Office","AA/AO","30","30","[c]","[c]"
"In post","2022","20-29","Unknown","Intellectual Property Office","EO","65","65","25780","24030"
"In post","2022","20-29","Unknown","Intellectual Property Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Intellectual Property Office","SEO/HEO","30","30","38400","40330"
"In post","2022","20-29","Unknown","Legal Aid Agency","AA/AO","25","20","[c]","[c]"
"In post","2022","20-29","Unknown","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Legal Aid Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Maritime and Coastguard Agency","AA/AO","45","45","25420","26840"
"In post","2022","20-29","Unknown","Maritime and Coastguard Agency","EO","20","20","[c]","[c]"
"In post","2022","20-29","Unknown","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Unknown","Maritime and Coastguard Agency","SEO/HEO","10","10","[c]","[c]"
